id	observation	label_ko	label_en	final	axis	issue_ready
C01	reference_only	소실	loss	no	text-multiset	no
C02	svg_only	과잉	excess	no	text-multiset	no
C03	both_delta_same_page	치환	substitution	no	text-multiset	no
C04	reread_mismatch	기록값 불일치	reread	yes	reread	yes
C05	exit_or_json_contract	계약 위반	contract	yes	exit-json	yes
C06	pixel_diff_rank	픽셀 후보	pixel-candidate	no	pixel	no
C07	zip_name_set_missing	엔트리 소실	zip-loss	no	zip	no
C08	constant_byte_shrink	상수 블록 소실 신호	constant-shrink	no	zip	no
C09	self_render_diff_only	자기 일관성	self-consistency	no	render-diff	no
C10	console_mojibake	콘솔 착시	not-a-defect	yes	encoding	no
C11	pdf_path_only_glyphs	텍스트층 손상 후보	pdf-path-text	no	text-multiset	no
C12	layout_ledger_square_wrap	그림 침범 후보	square-wrap	no	layout-ledger	no
