page	x	baseline_y	font_size	band_top	band_bottom	edges	clipped_top_px	clipped_bottom_px	visible_height_ratio	clip_ids	clip_rect	text	note
8	284.8	729.5	12.0	719.9	731.9	bottom	0.0	2.5	0.793	body-clip-5,cell-clip-23,cell-clip-220,cell-clip-293	261.3,704.2,386.3,729.4	공	candidate only; visible glyph band is partially cut by SVG clip
8	296.8	729.5	12.0	719.9	731.9	bottom	0.0	2.5	0.793	body-clip-5,cell-clip-23,cell-clip-220,cell-clip-293	261.3,704.2,386.3,729.4	정	candidate only; visible glyph band is partially cut by SVG clip
8	308.8	729.5	12.0	719.9	731.9	bottom	0.0	2.5	0.793	body-clip-5,cell-clip-23,cell-clip-220,cell-clip-293	261.3,704.2,386.3,729.4	기	candidate only; visible glyph band is partially cut by SVG clip
8	320.8	729.5	12.0	719.9	731.9	bottom	0.0	2.5	0.793	body-clip-5,cell-clip-23,cell-clip-220,cell-clip-293	261.3,704.2,386.3,729.4	술	candidate only; visible glyph band is partially cut by SVG clip
8	338.8	729.5	12.0	719.9	731.9	bottom	0.0	2.5	0.793	body-clip-5,cell-clip-23,cell-clip-220,cell-clip-293	261.3,704.2,386.3,729.4	개	candidate only; visible glyph band is partially cut by SVG clip
8	350.8	729.5	12.0	719.9	731.9	bottom	0.0	2.5	0.793	body-clip-5,cell-clip-23,cell-clip-220,cell-clip-293	261.3,704.2,386.3,729.4	발	candidate only; visible glyph band is partially cut by SVG clip
8	477.4	743.8	14.7	732.1	746.7	bottom	0.0	2.6	0.822	body-clip-5,cell-clip-23,cell-clip-220,cell-clip-335	419.2,729.4,527.6,744.1	⇪	candidate only; visible glyph band is partially cut by SVG clip
8	600.4	743.8	14.7	732.1	746.7	bottom	0.0	2.6	0.822	body-clip-5,cell-clip-23,cell-clip-220,cell-clip-338	527.6,729.4,663.8,744.1	⇪	candidate only; visible glyph band is partially cut by SVG clip
8	449.4	798.7	12.0	789.1	801.1	bottom	0.0	2.5	0.793	body-clip-5,cell-clip-23,cell-clip-220,cell-clip-384	419.2,773.4,527.6,798.7	(	candidate only; visible glyph band is partially cut by SVG clip
8	453.7	798.7	12.0	789.1	801.1	bottom	0.0	2.5	0.793	body-clip-5,cell-clip-23,cell-clip-220,cell-clip-384	419.2,773.4,527.6,798.7	△	candidate only; visible glyph band is partially cut by SVG clip
8	465.4	798.7	12.0	789.1	801.1	bottom	0.0	2.5	0.793	body-clip-5,cell-clip-23,cell-clip-220,cell-clip-384	419.2,773.4,527.6,798.7	1	candidate only; visible glyph band is partially cut by SVG clip
8	472.4	798.7	12.0	789.1	801.1	bottom	0.0	2.5	0.793	body-clip-5,cell-clip-23,cell-clip-220,cell-clip-384	419.2,773.4,527.6,798.7	.	candidate only; visible glyph band is partially cut by SVG clip
8	475.5	798.7	12.0	789.1	801.1	bottom	0.0	2.5	0.793	body-clip-5,cell-clip-23,cell-clip-220,cell-clip-384	419.2,773.4,527.6,798.7	7	candidate only; visible glyph band is partially cut by SVG clip
8	482.4	798.7	12.0	789.1	801.1	bottom	0.0	2.5	0.793	body-clip-5,cell-clip-23,cell-clip-220,cell-clip-384	419.2,773.4,527.6,798.7	%	candidate only; visible glyph band is partially cut by SVG clip
8	492.9	798.7	12.0	789.1	801.1	bottom	0.0	2.5	0.793	body-clip-5,cell-clip-23,cell-clip-220,cell-clip-384	419.2,773.4,527.6,798.7	)	candidate only; visible glyph band is partially cut by SVG clip
8	567.4	798.7	12.0	789.1	801.1	bottom	0.0	2.5	0.793	body-clip-5,cell-clip-23,cell-clip-220,cell-clip-392	527.6,773.4,663.8,798.7	(	candidate only; visible glyph band is partially cut by SVG clip
8	571.3	798.7	12.0	789.1	801.1	bottom	0.0	2.5	0.793	body-clip-5,cell-clip-23,cell-clip-220,cell-clip-392	527.6,773.4,663.8,798.7	△	candidate only; visible glyph band is partially cut by SVG clip
8	582.4	798.7	12.0	789.1	801.1	bottom	0.0	2.5	0.793	body-clip-5,cell-clip-23,cell-clip-220,cell-clip-392	527.6,773.4,663.8,798.7	2	candidate only; visible glyph band is partially cut by SVG clip
8	588.7	798.7	12.0	789.1	801.1	bottom	0.0	2.5	0.793	body-clip-5,cell-clip-23,cell-clip-220,cell-clip-392	527.6,773.4,663.8,798.7	8	candidate only; visible glyph band is partially cut by SVG clip
8	595.0	798.7	12.0	789.1	801.1	bottom	0.0	2.5	0.793	body-clip-5,cell-clip-23,cell-clip-220,cell-clip-392	527.6,773.4,663.8,798.7	.	candidate only; visible glyph band is partially cut by SVG clip
8	597.9	798.7	12.0	789.1	801.1	bottom	0.0	2.5	0.793	body-clip-5,cell-clip-23,cell-clip-220,cell-clip-392	527.6,773.4,663.8,798.7	3	candidate only; visible glyph band is partially cut by SVG clip
8	604.2	798.7	12.0	789.1	801.1	bottom	0.0	2.5	0.793	body-clip-5,cell-clip-23,cell-clip-220,cell-clip-392	527.6,773.4,663.8,798.7	%	candidate only; visible glyph band is partially cut by SVG clip
8	613.8	798.7	12.0	789.1	801.1	bottom	0.0	2.5	0.793	body-clip-5,cell-clip-23,cell-clip-220,cell-clip-392	527.6,773.4,663.8,798.7	)	candidate only; visible glyph band is partially cut by SVG clip
