key	analyzed_pages	flagged_page_count	flagged_pages	worst_pixel_match_percent	average_pixel_match_percent	worst_visual_accuracy_proxy_percent	worst_pages
pr_6088_issue6031	2	0		89.85613	90.99215	7.09095	6,3
pr_6089_issue6035	2	0		86.65941	87.45505	6.4415	6,5
pr_6093_6094_issue6060	1	0		95.99198	95.99198	17.82101	1
pr_6096_issue6086	1	0		88.22256	88.22256	16.62697	4
pr_6097_issue6025	1	0		79.66673	79.66673	9.58759	1
pr_6098_issue5966	2	0		89.24817	89.5383	19.03487	69,70
pr_6100_issue6095	2	0		87.58375	92.49284	8.94226	2,1
pr_6103_issue6099	1	0		96.48308	96.48308	33.55722	2197981
pr_6105_issue6101_approval	1	0		88.34738	88.34738	9.55212	1
pr_6105_issue6101_firefighter	1	0		85.71163	85.71163	29.97087	7
pr_6113_issue6102_overtime	1	0		94.32296	94.32296	39.09717	36310257
pr_6113_issue6102_traffic	1	0		95.86704	95.86704	12.67712	1
pr_6113_issue6102_vehicle	1	0		94.23661	94.23661	19.49557	36360328
pr_6119_6120_6131_issue5820	1	0		96.654	96.654	5.76437	2
pr_6137_issue6127	1	0		91.58224	91.58224	8.43906	2599643
pr_6144_issue6121	1	1	1	88.78936	88.78936	12.16775	1
