key	page	asset	source_review	pixel_match_percent	ink_match_percent	visual_accuracy_proxy_percent	diff_pixels	threshold
pr_6088_issue6031	3	mydocs/pr/assets/pr_6088_issue6031_visual_review_003.png	output/pr_6088_6144_visual_sweep/local_hancom2020/pr_6088_issue6031/review/review_003.png	89.85613	10.61292	10.61292	90449	32
pr_6088_issue6031	6	mydocs/pr/assets/pr_6088_issue6031_visual_review_006.png	output/pr_6088_6144_visual_sweep/local_hancom2020/pr_6088_issue6031/review/review_006.png	92.12818	7.09095	7.09095	70190	32
pr_6089_issue6035	5	mydocs/pr/assets/pr_6089_issue6035_visual_review_005.png	output/pr_6088_6144_visual_sweep/local_hancom2020/pr_6089_issue6035/review/review_005.png	86.65941	6.4732	6.4732	118953	32
pr_6089_issue6035	6	mydocs/pr/assets/pr_6089_issue6035_visual_review_006.png	output/pr_6088_6144_visual_sweep/local_hancom2020/pr_6089_issue6035/review/review_006.png	88.2507	6.4415	6.4415	104764	32
pr_6093_6094_issue6060	1	mydocs/pr/assets/pr_6093_6094_issue6060_visual_review_001.png	output/pr_6088_6144_visual_sweep/local_hancom2020/pr_6093_6094_issue6060/review/review_001.png	95.99198	17.82101	17.82101	35738	32
pr_6096_issue6086	4	mydocs/pr/assets/pr_6096_issue6086_visual_review_004.png	output/pr_6088_6144_visual_sweep/local_hancom2020/pr_6096_issue6086/review/review_004.png	88.22256	16.62697	16.62697	105015	32
pr_6097_issue6025	1	mydocs/pr/assets/pr_6097_issue6025_visual_review_001.png	output/pr_6088_6144_visual_sweep/local_hancom2020/pr_6097_issue6025/review/review_001.png	79.66673	9.58759	9.58759	181304	32
pr_6098_issue5966	69	mydocs/pr/assets/pr_6098_issue5966_visual_review_069.png	output/pr_6088_6144_visual_sweep/local_hancom2020/pr_6098_issue5966/review/review_069.png	89.24817	19.03487	19.03487	95870	32
pr_6098_issue5966	70	mydocs/pr/assets/pr_6098_issue5966_visual_review_070.png	output/pr_6088_6144_visual_sweep/local_hancom2020/pr_6098_issue5966/review/review_070.png	89.82843	19.17442	19.17442	90696	32
pr_6100_issue6095	1	mydocs/pr/assets/pr_6100_issue6095_visual_review_001.png	output/pr_6088_6144_visual_sweep/local_hancom2020/pr_6100_issue6095/review/review_001.png	87.58375	8.98022	8.98022	110711	32
pr_6100_issue6095	2	mydocs/pr/assets/pr_6100_issue6095_visual_review_002.png	output/pr_6088_6144_visual_sweep/local_hancom2020/pr_6100_issue6095/review/review_002.png	97.40193	8.94226	8.94226	23166	32
pr_6103_issue6099	2197981	mydocs/pr/assets/pr_6103_issue6099_visual_review_2197981.png	output/pr_6088_6144_visual_sweep/local_hancom2020/pr_6103_issue6099/review/review_2197981.png	96.48308	33.55722	33.55722	31359	32
pr_6105_issue6101_approval	1	mydocs/pr/assets/pr_6105_issue6101_approval_visual_review_001.png	output/pr_6088_6144_visual_sweep/local_hancom2020/pr_6105_issue6101_approval/review/review_001.png	88.34738	9.55212	9.55212	103902	32
pr_6105_issue6101_firefighter	7	mydocs/pr/assets/pr_6105_issue6101_firefighter_visual_review_007.png	output/pr_6088_6144_visual_sweep/local_hancom2020/pr_6105_issue6101_firefighter/review/review_007.png	85.71163	29.97087	29.97087	127404	32
pr_6113_issue6102_overtime	36310257	mydocs/pr/assets/pr_6113_issue6102_overtime_visual_review_36310257.png	output/pr_6088_6144_visual_sweep/local_hancom2020/pr_6113_issue6102_overtime/review/review_36310257.png	94.32296	39.09717	39.09717	50620	32
pr_6113_issue6102_traffic	1	mydocs/pr/assets/pr_6113_issue6102_traffic_visual_review_001.png	output/pr_6088_6144_visual_sweep/local_hancom2020/pr_6113_issue6102_traffic/review/review_001.png	95.86704	12.67712	12.67712	36852	32
pr_6113_issue6102_vehicle	36360328	mydocs/pr/assets/pr_6113_issue6102_vehicle_visual_review_36360328.png	output/pr_6088_6144_visual_sweep/local_hancom2020/pr_6113_issue6102_vehicle/review/review_36360328.png	94.23661	19.49557	19.49557	51390	32
pr_6119_6120_6131_issue5820	2	mydocs/pr/assets/pr_6119_6120_6131_issue5820_visual_review_002.png	output/pr_6088_6144_visual_sweep/local_hancom2020/pr_6119_6120_6131_issue5820/review/review_002.png	96.654	5.76437	5.76437	29835	32
pr_6137_issue6127	2599643	mydocs/pr/assets/pr_6137_issue6127_visual_review_2599643.png	output/pr_6088_6144_visual_sweep/local_hancom2020/pr_6137_issue6127/review/review_2599643.png	91.58224	8.43906	8.43906	75058	32
pr_6144_issue6121	1	mydocs/pr/assets/pr_6144_issue6121_visual_review_001.png	output/pr_6088_6144_visual_sweep/local_hancom2020/pr_6144_issue6121/review/review_001.png	88.78936	12.16775	12.16775	99961	32
