pr	issue_axis	sample	info_json	last_saved_product	last_saved_version	pdf	pdf_sha256	convert_status	visual_key	pages	visual_assets	pixel_match_min	visual_proxy_min	note
6088	6031	samples/issue6031/3249937_asset_management_rules.hwpx	mydocs/pr/assets/sample_issue6031_3249937_asset_management_rules_info.json	hancom-office-2020	11.0.0.8362	pdf/pr_6088_6144/hancom2020/pr_6088_6144_issue6031_asset_management_rules_3249937_asset_management_rules-2020.pdf	19226f8e3e564bcc8e1c4cad6a1a8259f5e1bf7821d8a81b371aa84f1e5c0c3f	mcp2020-ok	pr6088_issue6031_mcp2020	3,6	mydocs/pr/assets/pr_6088_issue6031_mcp2020_visual_review_003.png,mydocs/pr/assets/pr_6088_issue6031_mcp2020_visual_review_006.png	90.59778	7.24773	MCP Hancom 2020 PDF + visual_sweep complete; local direct failed but action-open retry also succeeded
6089	6035	samples/issue6035/2804253_cosmetics_gmp_checklist.hwpx	mydocs/pr/assets/sample_issue6035_2804253_cosmetics_gmp_checklist_info.json	hancom-office-2020	11.0.0.2129	pdf/pr_6088_6144/local_hancom2020/pr_6089_issue6035_cosmetics_gmp_checklist-local2020.pdf	74f9fb579246eb8106bb6fb7018d902781bb9f25ff229ee2970b5603eb4fb293	ok	pr_6089_issue6035	5,6	mydocs/pr/assets/pr_6089_issue6035_visual_review_005.png,mydocs/pr/assets/pr_6089_issue6035_visual_review_006.png	86.65941	6.4415	local Hancom 2020 PDF + visual_sweep complete
6093	6060	samples/issue6060/30307_local_service_reform.hwp	mydocs/pr/assets/sample_issue6060_30307_local_service_reform_info.json	null	7.5.12.614	pdf/pr_6088_6144/local_hancom2020/pr_6093_6094_issue6060_local_service_reform-local2020.pdf	4159de870cda1eb12fcec9a1dceece68510b99b20513f68e4d8cd3872671d78f	ok	pr_6093_6094_issue6060	1	mydocs/pr/assets/pr_6093_6094_issue6060_visual_review_001.png	95.99198	17.82101	local Hancom 2020 PDF + visual_sweep complete
6094	6087	samples/issue6060/30307_local_service_reform.hwp	mydocs/pr/assets/sample_issue6060_30307_local_service_reform_info.json	null	7.5.12.614	pdf/pr_6088_6144/local_hancom2020/pr_6093_6094_issue6060_local_service_reform-local2020.pdf	4159de870cda1eb12fcec9a1dceece68510b99b20513f68e4d8cd3872671d78f	ok	pr_6093_6094_issue6060	1	mydocs/pr/assets/pr_6093_6094_issue6060_visual_review_001.png	95.99198	17.82101	local Hancom 2020 PDF + visual_sweep complete
6096	6086	samples/issue6086/30098_resident_registration_reform.hwp	mydocs/pr/assets/sample_issue6086_30098_resident_registration_reform_info.json	null	7.5.12.614	pdf/pr_6088_6144/local_hancom2020/pr_6096_issue6086_resident_registration_reform-local2020.pdf	169124397820ed976c83aa96c50853143f58f8c128fb46dd14ac0e0a9823bf42	ok	pr_6096_issue6086	4	mydocs/pr/assets/pr_6096_issue6086_visual_review_004.png	88.22256	16.62697	local Hancom 2020 PDF + visual_sweep complete
6097	6025	samples/issue6025/3232693_employment_support_criteria.hwpx	mydocs/pr/assets/sample_issue6025_3232693_employment_support_criteria_info.json	hancom-office-2020	11.0.0.8362	pdf/pr_6088_6144/hancom2020/pr_6088_6144_issue6025_employment_support_criteria_3232693_employment_support_criteria-2020.pdf	985dab08280f0cb7a2489c796614337e230871428bc0ac98b5cd3be4b5abd579	mcp2020-ok	pr6097_issue6025_mcp2020	1	mydocs/pr/assets/pr_6097_issue6025_mcp2020_visual_review_001.png	80.49104	9.38905	MCP Hancom 2020 PDF + visual_sweep complete
6098	5966	samples/issue5966/1130000-202100008_franchise_review_report.hwp	mydocs/pr/assets/sample_issue5966_1130000-202100008_franchise_review_report_info.json	hancom-office-2010	8.5.8.1541	pdf/pr_6088_6144/hancom2020/pr_6088_6144_issue5966_franchise_review_report_1130000-202100008_franchise_review_report-2020.pdf	4cf22800e29baddb9b84023462c75252efd4efb04d22e9e64a8e3d9313076009	mcp2020-ok	pr6098_issue5966_mcp2020	69,70	mydocs/pr/assets/pr_6098_issue5966_mcp2020_visual_review_069.png,mydocs/pr/assets/pr_6098_issue5966_mcp2020_visual_review_070.png	89.47135	19.63842	MCP Hancom 2020 PDF + visual_sweep complete
6100	6095	samples/issue6095/3090867_icepack_levy_criteria.hwpx	mydocs/pr/assets/sample_issue6095_3090867_icepack_levy_criteria_info.json	hancom-office-2020	11.0.0.8362	pdf/pr_6088_6144/local_hancom2020/pr_6100_issue6095_icepack_levy_criteria-local2020.pdf	2e3d705a153ac1985c2000bae2707fd59437a170d0ae70cfa477e29343fde4fd	ok	pr_6100_issue6095	1,2	mydocs/pr/assets/pr_6100_issue6095_visual_review_001.png,mydocs/pr/assets/pr_6100_issue6095_visual_review_002.png	87.58375	8.94226	local Hancom 2020 PDF + visual_sweep complete
6103	6099	samples/issue6099/2197981_scanned_form.hwp	mydocs/pr/assets/sample_issue6099_2197981_scanned_form_info.json	hancom-office-2020	11.0.0.3524	pdf/pr_6088_6144/local_hancom2020/pr_6103_issue6099_scanned_form-local2020.pdf	03f16f1cdd9ec0f74e5688c50ef8b2b2ceceb36acb62546ad04d7cc02a068ff5	ok	pr_6103_issue6099	2197981	mydocs/pr/assets/pr_6103_issue6099_visual_review_2197981.png	96.48308	33.55722	local Hancom 2020 PDF + visual_sweep complete
6105	6101a	samples/issue6101/36361137_firefighter_training_plan.hwpx	mydocs/pr/assets/sample_issue6101_36361137_firefighter_training_plan_info.json	hancom-office-2020	11.0.0.8227	pdf/pr_6088_6144/local_hancom2020/pr_6105_issue6101_firefighter_training_plan-local2020.pdf	dca407511c85b5f07a7bee41149d45a0737e8bb4d6fb2a49569164f0a65b99bc	ok	pr_6105_issue6101_firefighter	7	mydocs/pr/assets/pr_6105_issue6101_firefighter_visual_review_007.png	85.71163	29.97087	local Hancom 2020 PDF + visual_sweep complete
