pr	issue	claim_page	source	last_saved_with	engine	pdf	pdf_pages	visual_key	visual_page	flagged	pixel_match_percent	visual_accuracy_proxy_percent	review_asset
6245	6194	p1	samples/issue6194/156494392_agri_press_release.hwpx	hancom-office-2018 10.0.0.11529	2020	pdf/pr_6275/by_saved_version/pr6275_issue6194_agri_press_release-2020.pdf	2	pr6275-issue6194-p1	1	0	90.73707	14.76016	mydocs/pr/assets/pr_6275_issue6194_visual_review_p1.png
6246	6186	p2	samples/issue6186/156755659_defense_press_release.hwpx	hancom-office-2018 10.0.0.12409	2020	pdf/pr_6275/by_saved_version/pr6275_issue6186_defense_press_release-2020.pdf	2	pr6275-issue6186-p2	2	0	93.02684	20.36145	mydocs/pr/assets/pr_6275_issue6186_visual_review_p2.png
6248	6179	p1	samples/issue6179/right_tab_footer_logo.hwpx	hancom-office-2018 10.0.0.9139	2020	pdf/pr_6275/by_saved_version/pr6275_issue6179_right_tab_footer_logo-2020.pdf	1	pr6275-issue6179-p1	1	0	99.18781	28.21174	mydocs/pr/assets/pr_6275_issue6179_visual_review_p1.png
6252	6174	p1	samples/issue6174/156661338_police_press_release.hwpx	hancom-office-2018 10.0.0.13015	2020	pdf/pr_6275/by_saved_version/pr6275_issue6174_police_press_release-2020.pdf	2	pr6275-issue6174-p1	1	0	91.58762	18.61601	mydocs/pr/assets/pr_6275_issue6174_visual_review_p1.png
6254	6173	p2	samples/issue6173/textbox_right_align_logos.hwpx	hancom-office-2020 11.0.0.8969	2020	pdf/pr_6275/by_saved_version/pr6275_issue6173_textbox_right_align_logos-2020.pdf	2	pr6275-issue6173-p2	2	0	99.40067	45.36346	mydocs/pr/assets/pr_6275_issue6173_visual_review_p2.png
6259	6167	slice p1 / 원 PR p38	samples/issue6167/leading_space_tac_table.hwpx	hancom-office-2024 13.0.0.1053	2024	pdf/pr_6275/by_saved_version/pr6275_issue6167_leading_space_tac_table-2024.pdf	1	pr6275-issue6167-p1	1	0	96.11433	38.92434	mydocs/pr/assets/pr_6275_issue6167_visual_review_p1.png
6260	6196	p1	samples/issue6196/cell_char_spacing_fit.hwp	hancom-office-2020 11.0.0.4585	2020	pdf/pr_6275/by_saved_version/pr6275_issue6196_cell_char_spacing_fit-2020.pdf	1	pr6275-issue6196-p1	1	0	91.90489	28.76852	mydocs/pr/assets/pr_6275_issue6196_visual_review_p1.png
6261	6206	securities p2	samples/issue6143/156555538_securities_settlement_review.hwpx	hancom-office-2020 11.0.0.6402	2020	pdf/pr_6275/by_saved_version/pr6275_issue6206_securities_settlement_review-2020.pdf	17	pr6275-issue6206-securities-p2	2	1	87.91134	29.94235	mydocs/pr/assets/pr_6275_issue6206_securities_visual_review_p2.png
6261	6206	acrc p7	/home/tsjang/Downloads/korea_downloads/acrc_downloads/2026/113424_근무성적평가 및 경력·가점평정 등 운영지침 일부개정예규안_자체법제심사 결과 반영.hwpx	hancom-office-2024 13.0.0.1053	2024	pdf/pr_6275/by_saved_version/pr6275_issue6206_acrc_113424_review-2024.pdf	46	pr6275-issue6206-acrc-p7	7	0	86.45204	15.49589	mydocs/pr/assets/pr_6275_issue6206_acrc_visual_review_p7.png
6262	6190	slice p1 / 원 PR p3	samples/issue6190/center_align_first_line_indent.hwp	hancom-office-2020 11.0.0.2129	2020	pdf/pr_6275/by_saved_version/pr6275_issue6190_center_align_first_line_indent-2020.pdf	1	pr6275-issue6190-p1	1	0	96.25901	5.20078	mydocs/pr/assets/pr_6275_issue6190_visual_review_p1.png
6265	6192	slice p2 / 원 PR p4	samples/issue6192/cell_behind_text_para_anchor.hwpx	hancom-office-2020 11.0.0.7571	2020	pdf/pr_6275/by_saved_version/pr6275_issue6192_cell_behind_text_para_anchor-2020.pdf	2	pr6275-issue6192-p2	2	0	99.31622	35.97606	mydocs/pr/assets/pr_6275_issue6192_visual_review_p2.png
6268	6208	p1	samples/issue6208/print_method_nup.hwp	hancom-office-2020 11.0.0.2129	2020	pdf/pr_6275/by_saved_version/pr6275_issue6208_print_method_nup-2020.pdf	1	pr6275-issue6208-p1	1	0	99.40392	4.86844	mydocs/pr/assets/pr_6275_issue6208_visual_review_p1.png
