font	search_name	document_count	status	download_available	webfont_usable	webfont_usable_reason	delivery	package	version	license	download_url	note
08서울남산체 B	08서울남산체	33	not-found	불가	불가	검증 가능한 웹폰트 파일 미발견						Fontsource·명시 별칭·jsDelivr 웹 검색에서 검증 가능한 패키지를 찾지 못함
08서울남산체 EB	08서울남산체 eb	118	not-found	불가	불가	검증 가능한 웹폰트 파일 미발견						Fontsource·명시 별칭·jsDelivr 웹 검색에서 검증 가능한 패키지를 찾지 못함
08서울남산체 L	08서울남산체	12	not-found	불가	불가	검증 가능한 웹폰트 파일 미발견						Fontsource·명시 별칭·jsDelivr 웹 검색에서 검증 가능한 패키지를 찾지 못함
08서울남산체 M	08서울남산체	24	not-found	불가	불가	검증 가능한 웹폰트 파일 미발견						Fontsource·명시 별칭·jsDelivr 웹 검색에서 검증 가능한 패키지를 찾지 못함
08서울한강체 L	08서울한강체	97	not-found	불가	불가	검증 가능한 웹폰트 파일 미발견						Fontsource·명시 별칭·jsDelivr 웹 검색에서 검증 가능한 패키지를 찾지 못함
08서울한강체 M	08서울한강체	28	not-found	불가	불가	검증 가능한 웹폰트 파일 미발견						Fontsource·명시 별칭·jsDelivr 웹 검색에서 검증 가능한 패키지를 찾지 못함
12롯데마트드림Bold	12롯데마트드림bold	1	not-found	불가	불가	검증 가능한 웹폰트 파일 미발견		@tiptap/extension-bold, ansi-bold, @remirror/extension-bold				Fontsource·명시 별칭·jsDelivr 웹 검색에서 검증 가능한 패키지를 찾지 못함
12롯데마트드림Medium	12롯데마트드림medium	1	not-found	불가	불가	검증 가능한 웹폰트 파일 미발견		medium, medium-zoom, medium-editor				Fontsource·명시 별칭·jsDelivr 웹 검색에서 검증 가능한 패키지를 찾지 못함
1훈검정고무신 R	1훈검정고무신	3	not-found	불가	불가	검증 가능한 웹폰트 파일 미발견						Fontsource·명시 별칭·jsDelivr 웹 검색에서 검증 가능한 패키지를 찾지 못함
1ôç	1ôç	1	not-found	불가	불가	검증 가능한 웹폰트 파일 미발견						Fontsource·명시 별칭·jsDelivr 웹 검색에서 검증 가능한 패키지를 찾지 못함
2002	2002	55	not-found	불가	불가	검증 가능한 웹폰트 파일 미발견		@pickstar-2002/video-clip-mcp, romanian-cities, @audio/denoise-omlsa				Fontsource·명시 별칭·jsDelivr 웹 검색에서 검증 가능한 패키지를 찾지 못함
20faces	20faces	1	license-review	가능	라이선스 검토 필요	CDN 응답은 확인했지만 원 권리자의 웹 사용 허가를 확인하지 못함	OnlineWebFonts	onlinewebfonts:945256fbf686f39790043c7f1330a600	945256fbf686f39790043c7f1330a600	원 권리자 웹 사용 허가 미확인	https://db.onlinewebfonts.com/t/945256fbf686f39790043c7f1330a600.woff2	OnlineWebFonts WOFF2 응답 확인 (https://www.onlinewebfonts.com/download/945256fbf686f39790043c7f1330a600); 실제 서비스 배포 전 원 권리자 사용 허가 확인 필요
210 럭키수퍼 L	210 럭키수퍼	2	not-found	불가	불가	검증 가능한 웹폰트 파일 미발견						Fontsource·명시 별칭·jsDelivr 웹 검색에서 검증 가능한 패키지를 찾지 못함
