path	status	page_count	overflow	overlap	empty_page	off_canvas	text_overlap	has_signal	elapsed_ms	error
samples/143E433F503322BD33.hwp	CLEAN	1	0	0	0			0	303	
samples/156457624_210622 7월부터 해외직구 구매대행업체 등록제 시행.hwp	CLEAN	5	0	0	0			0	632	
samples/156636617_240617 2024년 5월 월간 수출입 현황(확정치).hwp	ANOMALY	19	2	1	0			1	5080	
samples/2010-01-06.hwp	CLEAN	6	0	0	0			0	1291	
samples/2022년 국립국어원 업무계획.hwp	ANOMALY	35	10	0	0			1	5560	
samples/2025 행정업무운영 편람(최종).hwp	ANOMALY	383	152	3	18			1	45431	
samples/2025 행정업무운영 편람(최종).hwpx	ANOMALY	383	161	4	18			1	34610	
samples/20250130-hongbo-no.hwp	CLEAN	4	0	0	0			0	986	
samples/20250130-hongbo.hwp	CLEAN	4	0	0	0			0	590	
samples/20250130-hongbo_saved.hwp	CLEAN	5	0	0	0			0	715	
samples/2025년 기부·답례품 실적 지자체 보고서_양식.hwpx	ANOMALY	30	23	0	0			1	2892	
samples/2026_oss_rst.hwp	ANOMALY	6	2	0	0			1	1118	
samples/21868765_별표2_보건소_분장사무.hwp	CLEAN	4	0	0	0			0	1229	
samples/21_언어_기출_편집가능본.hwp	ANOMALY	15	1	0	0			1	3254	
samples/253E164F57A1BC6934-empty.hwp	ANOMALY	2	1	0	0			1	729	
samples/3-09월_교육_통합_2022.hwp	ANOMALY	23	3	2	0			1	15333	
samples/3-09월_교육_통합_2022.hwpx	ANOMALY	23	37	2	0			1	10222	
samples/3-09월_교육_통합_2023.hwp	ANOMALY	20	2	9	0			1	9279	
samples/3-09월_교육_통합_2023.hwpx	ANOMALY	20	8	9	0			1	6766	
samples/3-09월_교육_통합_2024-격자기준종이.hwp	ANOMALY	23	3	2	0			1	14038	
samples/3-09월_교육_통합_2024-격자기준쪽.hwp	ANOMALY	23	3	2	0			1	14155	
samples/3-09월_교육_통합_2024-구분선아래20.hwp	ANOMALY	23	5	2	0			1	14349	
samples/3-09월_교육_통합_2024-구분선아래20구분선위20.hwp	ANOMALY	23	13	2	0			1	14574	
samples/3-09월_교육_통합_2024-구분선아래20구분선위20.hwpx	ANOMALY	23	18	2	0			1	10172	
samples/3-09월_교육_통합_2024-미주사이20.hwp	ANOMALY	24	6	2	0			1	15178	
samples/3-10월_교육_통합_2022.hwp	ANOMALY	18	3	3	0			1	9682	
samples/3-10월_교육_통합_2022.hwpx	ANOMALY	18	5	2	0			1	6378	
samples/3-11월_실전_통합_2022.hwp	ANOMALY	21	2	8	0			1	12437	
samples/3-11월_실전_통합_2022.hwpx	ANOMALY	21	9	8	0			1	9448	
samples/3-11월_실전_통합_2024-구분선없음구분선위20미주사이20구분선아래20.hwp	ANOMALY	23	4	8	0			1	13285	
samples/3-11월_실전_통합_2024-구분선없음구분선위20미주사이20구분선아래20.hwpx	ANOMALY	23	4	8	0			1	9750	
samples/3-11월_실전_통합_2024-구분선위0미주사이0구분선아래0.hwp	ANOMALY	21	4	9	0			1	12994	
samples/3-11월_실전_통합_2024-구분선위0미주사이0구분선아래0.hwpx	ANOMALY	21	19	9	0			1	9208	
samples/3-11월_실전_통합_2024-구분선위0미주사이20구분선아래2.hwp	ANOMALY	22	9	8	0			1	13274	
samples/3-11월_실전_통합_2024-구분선위0미주사이20구분선아래2.hwpx	ANOMALY	22	21	8	0			1	9295	
samples/3-11월_실전_통합_2024-구분선위0미주사이7구분선아래2.hwp	ANOMALY	21	2	8	0			1	12792	
samples/3-11월_실전_통합_2024-구분선위0미주사이7구분선아래2.hwpx	ANOMALY	21	9	8	0			1	9337	
samples/3-11월_실전_통합_2024-구분선위0미주사이7구분선아래20.hwp	ANOMALY	21	3	8	0			1	12336	
samples/3-11월_실전_통합_2024-구분선위0미주사이7구분선아래20.hwpx	ANOMALY	21	15	7	0			1	8373	
samples/3-11월_실전_통합_2024-구분선위20미주사이0구분선아래20.hwp	ANOMALY	21	3	8	0			1	10122	
samples/3-11월_실전_통합_2024-구분선위20미주사이0구분선아래20.hwpx	ANOMALY	21	8	10	0			1	6764	
samples/3-11월_실전_통합_2024-구분선위20미주사이7구분선아래2.hwp	ANOMALY	21	3	8	0			1	9452	
