id	kind	family	registered_key	genre	page	reference_only	svg_only	reference_only_chars	svg_only_chars	glyph_risk_count	owner_shift	sequence	visible_excess	related_issue	title
excess-plan-cover-00	excess	plan	plan	업무계획	1	0	3	-	U+AE00:\uae00×1,U+B9AC:\ub9ac×1,U+BA38:\uba38×1	0	-	-	-	#3389	표지 연도·기관명 — 반복 머리글이 SVG 에만 붙음
excess-plan-cover-01	excess	plan	plan	업무계획	1	0	1	-	U+F02FB:\U000f02fb×1	1	-	-	-	#3389	표지 연도·기관명 — 한컴 불릿 과잉
excess-plan-goal-00	excess	plan	plan	업무계획	1	0	3	-	U+AE00:\uae00×1,U+B9AC:\ub9ac×1,U+BA38:\uba38×1	0	-	-	-	#3389	추진 목표 문단 — 반복 머리글이 SVG 에만 붙음
excess-plan-goal-01	excess	plan	plan	업무계획	1	0	1	-	U+F02FB:\U000f02fb×1	1	-	-	-	#3389	추진 목표 문단 — 한컴 불릿 과잉
excess-plan-table-head-00	excess	plan	plan	업무계획	1	0	3	-	U+AE00:\uae00×1,U+B9AC:\ub9ac×1,U+BA38:\uba38×1	0	-	-	-	#3389	실적 표 헤더 — 반복 머리글이 SVG 에만 붙음
excess-plan-table-head-01	excess	plan	plan	업무계획	1	0	1	-	U+F02FB:\U000f02fb×1	1	-	-	-	#3389	실적 표 헤더 — 한컴 불릿 과잉
excess-plan-budget-00	excess	plan	plan	업무계획	1	0	3	-	U+AE00:\uae00×1,U+B9AC:\ub9ac×1,U+BA38:\uba38×1	0	-	-	-	#3389	예산 숫자 행 — 반복 머리글이 SVG 에만 붙음
excess-plan-budget-01	excess	plan	plan	업무계획	1	0	1	-	U+F02FB:\U000f02fb×1	1	-	-	-	#3389	예산 숫자 행 — 한컴 불릿 과잉
excess-plan-footnote-00	excess	plan	plan	업무계획	1	0	3	-	U+AE00:\uae00×1,U+B9AC:\ub9ac×1,U+BA38:\uba38×1	0	-	-	-	#3389	각주 표지 — 반복 머리글이 SVG 에만 붙음
excess-plan-footnote-01	excess	plan	plan	업무계획	1	0	1	-	U+F02FB:\U000f02fb×1	1	-	-	-	#3389	각주 표지 — 한컴 불릿 과잉
excess-plan-caption-00	excess	plan	plan	업무계획	1	0	3	-	U+AE00:\uae00×1,U+B9AC:\ub9ac×1,U+BA38:\uba38×1	0	-	-	-	#3389	그림 캡션 — 반복 머리글이 SVG 에만 붙음
excess-plan-caption-01	excess	plan	plan	업무계획	1	0	1	-	U+F02FB:\U000f02fb×1	1	-	-	-	#3389	그림 캡션 — 한컴 불릿 과잉
excess-plan-pua-circled-00	excess	plan	plan	업무계획	1	0	3	-	U+AE00:\uae00×1,U+B9AC:\ub9ac×1,U+BA38:\uba38×1	4	-	-	-	#3385	원문자 과제 번호 — 반복 머리글이 SVG 에만 붙음
excess-plan-pua-circled-01	excess	plan	plan	업무계획	1	0	1	-	U+F02FB:\U000f02fb×1	5	-	-	-	#3385	원문자 과제 번호 — 한컴 불릿 과잉
excess-manual-toc-00	excess	manual	manual	장문 편람	1	0	3	-	U+AE00:\uae00×1,U+B9AC:\ub9ac×1,U+BA38:\uba38×1	0	-	-	-	#3389	편람 목차 — 반복 머리글이 SVG 에만 붙음
