id	kind	family	registered_key	genre	page	reference_only	svg_only	reference_only_chars	svg_only_chars	glyph_risk_count	owner_shift	sequence	visible_excess	related_issue	title
excess-plan-cover-01	excess	plan	plan	업무계획	1	0	1	-	U+F02FB:\U000f02fb×1	1	-	-	-	#3389	표지 연도·기관명 — 한컴 불릿 과잉
excess-plan-goal-01	excess	plan	plan	업무계획	1	0	1	-	U+F02FB:\U000f02fb×1	1	-	-	-	#3389	추진 목표 문단 — 한컴 불릿 과잉
excess-plan-table-head-01	excess	plan	plan	업무계획	1	0	1	-	U+F02FB:\U000f02fb×1	1	-	-	-	#3389	실적 표 헤더 — 한컴 불릿 과잉
excess-plan-budget-01	excess	plan	plan	업무계획	1	0	1	-	U+F02FB:\U000f02fb×1	1	-	-	-	#3389	예산 숫자 행 — 한컴 불릿 과잉
excess-plan-footnote-01	excess	plan	plan	업무계획	1	0	1	-	U+F02FB:\U000f02fb×1	1	-	-	-	#3389	각주 표지 — 한컴 불릿 과잉
excess-plan-caption-01	excess	plan	plan	업무계획	1	0	1	-	U+F02FB:\U000f02fb×1	1	-	-	-	#3389	그림 캡션 — 한컴 불릿 과잉
match-plan-pua-circled	match	plan	plan	업무계획	1	0	0	-	-	4	-	-	-	#3385	원문자 과제 번호 — 동일 텍스트
match-reorder-plan-pua-circled	match	plan	plan	업무계획	1	0	0	-	-	4	-	-	-	#3385	원문자 과제 번호 — 어절 순서만 변경
excess-plan-pua-circled-00	excess	plan	plan	업무계획	1	0	3	-	U+AE00:\uae00×1,U+B9AC:\ub9ac×1,U+BA38:\uba38×1	4	-	-	-	#3385	원문자 과제 번호 — 반복 머리글이 SVG 에만 붙음
excess-plan-pua-circled-01	excess	plan	plan	업무계획	1	0	1	-	U+F02FB:\U000f02fb×1	5	-	-	-	#3385	원문자 과제 번호 — 한컴 불릿 과잉
sub-pua-fffd-plan-pua-circled	substitution	plan	plan	업무계획	1	4	4	U+F02B1:\U000f02b1×1,U+F02B2:\U000f02b2×1,U+F02B3:\U000f02b3×1,U+F02B4:\U000f02b4×1	U+FFFD:\ufffd×4	4	-	-	-	#3385	원문자 과제 번호 — PUA→U+FFFD
excess-manual-toc-01	excess	manual	manual	장문 편람	1	0	1	-	U+F02FB:\U000f02fb×1	1	-	-	-	#3389	편람 목차 — 한컴 불릿 과잉
excess-manual-article-01	excess	manual	manual	장문 편람	1	0	1	-	U+F02FB:\U000f02fb×1	1	-	-	-	#3389	조문 본문 — 한컴 불릿 과잉
