id	kind	family	registered_key	genre	page	reference_only	svg_only	reference_only_chars	svg_only_chars	glyph_risk_count	owner_shift	sequence	visible_excess	related_issue	title
loss-plan-cover-00	loss	plan	plan	업무계획	1	5	0	U+BD80:\ubd80×1,U+C548:\uc548×1,U+C804:\uc804×1,U+C815:\uc815×1,U+D589:\ud589×1	-	0	-	-	-	#3389	표지 연도·기관명 — 기관명 소실
loss-plan-goal-01	loss	plan	plan	업무계획	1	4	0	U+BAA9:\ubaa9×1,U+C9C4:\uc9c4×1,U+CD94:\ucd94×1,U+D45C:\ud45c×1	-	0	-	-	-	#3389	추진 목표 문단 — 제목 소실
loss-plan-table-head-02	loss	plan	plan	업무계획	1	2	0	U+C0B0:\uc0b0×1,U+C608:\uc608×1	-	0	-	-	-	#3389	실적 표 헤더 — 열 헤더 소실
loss-plan-budget-02	loss	plan	plan	업무계획	1	2	0	U+C0B0:\uc0b0×1,U+C608:\uc608×1	-	0	-	-	-	#3389	예산 숫자 행 — 열 헤더 소실
loss-plan-footnote-03	loss	plan	plan	업무계획	1	32	0	U+002E:.×3,U+002F:/×4,U+0030:0×1,U+0032:2×3,U+003A::×1,U+0061:a×1,U+0067:g×1,U+0068:h×1,U+0069:i×1,U+006B:k×1,U+006C:l×1,U+006D:m×1,U+006E:n×1,U+006F:o×2,U+0070:p×2,U+0072:r×1,U+0073:s×2,U+0074:t×2,U+0077:w×3	-	0	-	-	-	#3389	각주 표지 — URL 소실
loss-plan-caption-00	loss	plan	plan	업무계획	1	5	0	U+BD80:\ubd80×1,U+C548:\uc548×1,U+C804:\uc804×1,U+C815:\uc815×1,U+D589:\ud589×1	-	0	-	-	-	#3389	그림 캡션 — 기관명 소실
loss-manual-article-04	loss	manual	manual	장문 편람	1	11	0	U+0028:(×1,U+0029:)×1,U+0031:1×1,U+0032:2×1,U+B9BD:\ub9bd×1,U+BB38:\ubb38×1,U+C11C:\uc11c×1,U+C131:\uc131×1,U+C758:\uc758×1,U+C81C:\uc81c×1,U+C870:\uc870×1	-	0	-	-	-	#3389	조문 본문 — 조문 번호 소실
loss-korexam-choice-07	loss	korexam	korexam	법학적성 언어이해	1	1	0	U+2460:\u2460×1	-	0	-	-	-	#3389	선지 ①~⑤ — 선지 원문자 소실
loss-math-item-06	loss	math	math	수학 시험	1	3	0	U+BD84:\ubd84×1,U+C801:\uc801×1,U+C815:\uc815×1	-	0	-	-	-	#3389	문항 본문 — 수식 지시 소실
loss-math-choice-07	loss	math	math	수학 시험	1	1	0	U+2460:\u2460×1	-	0	-	-	-	#3389	수식 선지 — 선지 원문자 소실
loss-math-caption-06	loss	math	math	수학 시험	1	3	0	U+BD84:\ubd84×1,U+C801:\uc801×1,U+C815:\uc815×1	-	0	-	-	-	#3389	그래프 캡션 — 수식 지시 소실
loss-eng-question-05	loss	eng	eng	영어 시험	1	47	0	U+003F:?×1,U+0057:W×1,U+0061:a×2,U+0062:b×1,U+0063:c×1,U+0065:e×6,U+0066:f×3,U+0067:g×2,U+0068:h×5,U+0069:i×4,U+006C:l×3,U+006E:n×1,U+006F:o×4,U+0070:p×1,U+0072:r×1,U+0073:s×4,U+0074:t×6,U+0077:w×1	-	0	-	-	-	#3389	영어 문항 — 영어 문항 소실
loss-fn-late-00	loss	footnote	manual	각주	1	5	0	U+BD80:\ubd80×1,U+C548:\uc548×1,U+C804:\uc804×1,U+C815:\uc815×1,U+D589:\ud589×1	-	0	-	-	-	#3389	각주 본문 늦게 — 기관명 소실
loss-table-first-row-02	loss	table	plan	표 조각	1	2	0	U+C0B0:\uc0b0×1,U+C608:\uc608×1	-	0	-	-	-	#3389	표 첫 줄 중복 — 열 헤더 소실
loss-table-cell-00	loss	table	plan	표 조각	1	5	0	U+BD80:\ubd80×1,U+C548:\uc548×1,U+C804:\uc804×1,U+C815:\uc815×1,U+D589:\ud589×1	-	0	-	-	-	#3389	셀 본문 — 기관명 소실
loss-header-repeat-00	loss	header	plan	머리글	1	5	0	U+BD80:\ubd80×1,U+C548:\uc548×1,U+C804:\uc804×1,U+C815:\uc815×1,U+D589:\ud589×1	-	0	-	-	-	#3389	반복 머리글 — 기관명 소실
