id	kind	family	registered_key	genre	page	reference_only	svg_only	reference_only_chars	svg_only_chars	glyph_risk_count	owner_shift	sequence	visible_excess	related_issue	title
match-plan-cover	match	plan	plan	업무계획	1	0	0	-	-	0	-	-	-	#3389	표지 연도·기관명 — 동일 텍스트
match-ws-plan-cover	match	plan	plan	업무계획	1	0	0	-	-	0	-	-	-	#3389	표지 연도·기관명 — 공백만 다름
match-nfd-plan-cover	match	plan	plan	업무계획	1	0	0	-	-	0	-	-	-	#3389	표지 연도·기관명 — NFD 한글
match-reorder-plan-cover	match	plan	plan	업무계획	1	0	0	-	-	0	-	-	-	#3389	표지 연도·기관명 — 어절 순서만 변경
loss-plan-cover-00	loss	plan	plan	업무계획	1	5	0	U+BD80:\ubd80×1,U+C548:\uc548×1,U+C804:\uc804×1,U+C815:\uc815×1,U+D589:\ud589×1	-	0	-	-	-	#3389	표지 연도·기관명 — 기관명 소실
excess-plan-cover-00	excess	plan	plan	업무계획	1	0	3	-	U+AE00:\uae00×1,U+B9AC:\ub9ac×1,U+BA38:\uba38×1	0	-	-	-	#3389	표지 연도·기관명 — 반복 머리글이 SVG 에만 붙음
excess-plan-cover-01	excess	plan	plan	업무계획	1	0	1	-	U+F02FB:\U000f02fb×1	1	-	-	-	#3389	표지 연도·기관명 — 한컴 불릿 과잉
sub-fullwidth-plan-cover	substitution	plan	plan	업무계획	1	4	4	U+0030:0×1,U+0032:2×3	U+FF10:\uff10×1,U+FF12:\uff12×3	0	-	-	-	#3389	표지 연도·기관명 — 전각 숫자
match-plan-goal	match	plan	plan	업무계획	1	0	0	-	-	0	-	-	-	#3389	추진 목표 문단 — 동일 텍스트
match-reorder-plan-goal	match	plan	plan	업무계획	1	0	0	-	-	0	-	-	-	#3389	추진 목표 문단 — 어절 순서만 변경
loss-plan-goal-01	loss	plan	plan	업무계획	1	4	0	U+BAA9:\ubaa9×1,U+C9C4:\uc9c4×1,U+CD94:\ucd94×1,U+D45C:\ud45c×1	-	0	-	-	-	#3389	추진 목표 문단 — 제목 소실
excess-plan-goal-00	excess	plan	plan	업무계획	1	0	3	-	U+AE00:\uae00×1,U+B9AC:\ub9ac×1,U+BA38:\uba38×1	0	-	-	-	#3389	추진 목표 문단 — 반복 머리글이 SVG 에만 붙음
excess-plan-goal-01	excess	plan	plan	업무계획	1	0	1	-	U+F02FB:\U000f02fb×1	1	-	-	-	#3389	추진 목표 문단 — 한컴 불릿 과잉
match-plan-table-head	match	plan	plan	업무계획	1	0	0	-	-	0	-	-	-	#3389	실적 표 헤더 — 동일 텍스트
match-reorder-plan-table-head	match	plan	plan	업무계획	1	0	0	-	-	0	-	-	-	#3389	실적 표 헤더 — 어절 순서만 변경
loss-plan-table-head-02	loss	plan	plan	업무계획	1	2	0	U+C0B0:\uc0b0×1,U+C608:\uc608×1	-	0	-	-	-	#3389	실적 표 헤더 — 열 헤더 소실
excess-plan-table-head-00	excess	plan	plan	업무계획	1	0	3	-	U+AE00:\uae00×1,U+B9AC:\ub9ac×1,U+BA38:\uba38×1	0	-	-	-	#3389	실적 표 헤더 — 반복 머리글이 SVG 에만 붙음
excess-plan-table-head-01	excess	plan	plan	업무계획	1	0	1	-	U+F02FB:\U000f02fb×1	1	-	-	-	#3389	실적 표 헤더 — 한컴 불릿 과잉
match-plan-budget	match	plan	plan	업무계획	1	0	0	-	-	0	-	-	-	#3389	예산 숫자 행 — 동일 텍스트
match-reorder-plan-budget	match	plan	plan	업무계획	1	0	0	-	-	0	-	-	-	#3389	예산 숫자 행 — 어절 순서만 변경
loss-plan-budget-02	loss	plan	plan	업무계획	1	2	0	U+C0B0:\uc0b0×1,U+C608:\uc608×1	-	0	-	-	-	#3389	예산 숫자 행 — 열 헤더 소실
excess-plan-budget-00	excess	plan	plan	업무계획	1	0	3	-	U+AE00:\uae00×1,U+B9AC:\ub9ac×1,U+BA38:\uba38×1	0	-	-	-	#3389	예산 숫자 행 — 반복 머리글이 SVG 에만 붙음
excess-plan-budget-01	excess	plan	plan	업무계획	1	0	1	-	U+F02FB:\U000f02fb×1	1	-	-	-	#3389	예산 숫자 행 — 한컴 불릿 과잉
sub-fullwidth-plan-budget	substitution	plan	plan	업무계획	1	19	19	U+0030:0×3,U+0031:1×1,U+0032:2×2,U+0033:3×1,U+0034:4×2,U+0035:5×2,U+0036:6×2,U+0037:7×4,U+0038:8×1,U+0039:9×1	U+FF10:\uff10×3,U+FF11:\uff11×1,U+FF12:\uff12×2,U+FF13:\uff13×1,U+FF14:\uff14×2,U+FF15:\uff15×2,U+FF16:\uff16×2,U+FF17:\uff17×4,U+FF18:\uff18×1,U+FF19:\uff19×1	0	-	-	-	#3389	예산 숫자 행 — 전각 숫자
match-plan-footnote	match	plan	plan	업무계획	1	0	0	-	-	0	-	-	-	#3389	각주 표지 — 동일 텍스트
match-reorder-plan-footnote	match	plan	plan	업무계획	1	0	0	-	-	0	-	-	-	#3389	각주 표지 — 어절 순서만 변경
loss-plan-footnote-03	loss	plan	plan	업무계획	1	32	0	U+002E:.×3,U+002F:/×4,U+0030:0×1,U+0032:2×3,U+003A::×1,U+0061:a×1,U+0067:g×1,U+0068:h×1,U+0069:i×1,U+006B:k×1,U+006C:l×1,U+006D:m×1,U+006E:n×1,U+006F:o×2,U+0070:p×2,U+0072:r×1,U+0073:s×2,U+0074:t×2,U+0077:w×3	-	0	-	-	-	#3389	각주 표지 — URL 소실
excess-plan-footnote-00	excess	plan	plan	업무계획	1	0	3	-	U+AE00:\uae00×1,U+B9AC:\ub9ac×1,U+BA38:\uba38×1	0	-	-	-	#3389	각주 표지 — 반복 머리글이 SVG 에만 붙음
excess-plan-footnote-01	excess	plan	plan	업무계획	1	0	1	-	U+F02FB:\U000f02fb×1	1	-	-	-	#3389	각주 표지 — 한컴 불릿 과잉
sub-fullwidth-plan-footnote	substitution	plan	plan	업무계획	1	10	10	U+0030:0×2,U+0031:1×2,U+0032:2×6	U+FF10:\uff10×2,U+FF11:\uff11×2,U+FF12:\uff12×6	0	-	-	-	#3389	각주 표지 — 전각 숫자
match-plan-caption	match	plan	plan	업무계획	1	0	0	-	-	0	-	-	-	#3389	그림 캡션 — 동일 텍스트
match-reorder-plan-caption	match	plan	plan	업무계획	1	0	0	-	-	0	-	-	-	#3389	그림 캡션 — 어절 순서만 변경
loss-plan-caption-00	loss	plan	plan	업무계획	1	5	0	U+BD80:\ubd80×1,U+C548:\uc548×1,U+C804:\uc804×1,U+C815:\uc815×1,U+D589:\ud589×1	-	0	-	-	-	#3389	그림 캡션 — 기관명 소실
excess-plan-caption-00	excess	plan	plan	업무계획	1	0	3	-	U+AE00:\uae00×1,U+B9AC:\ub9ac×1,U+BA38:\uba38×1	0	-	-	-	#3389	그림 캡션 — 반복 머리글이 SVG 에만 붙음
excess-plan-caption-01	excess	plan	plan	업무계획	1	0	1	-	U+F02FB:\U000f02fb×1	1	-	-	-	#3389	그림 캡션 — 한컴 불릿 과잉
sub-fullwidth-plan-caption	substitution	plan	plan	업무계획	1	6	6	U+0030:0×1,U+0032:2×4,U+0033:3×1	U+FF10:\uff10×1,U+FF12:\uff12×4,U+FF13:\uff13×1	0	-	-	-	#3389	그림 캡션 — 전각 숫자
sub-dash-plan-caption	substitution	plan	plan	업무계획	1	1	1	U+002D:-×1	U+2013:\u2013×1	0	-	-	-	#3389	그림 캡션 — 대시 치환
match-plan-pua-circled	match	plan	plan	업무계획	1	0	0	-	-	4	-	-	-	#3385	원문자 과제 번호 — 동일 텍스트
match-reorder-plan-pua-circled	match	plan	plan	업무계획	1	0	0	-	-	4	-	-	-	#3385	원문자 과제 번호 — 어절 순서만 변경
excess-plan-pua-circled-00	excess	plan	plan	업무계획	1	0	3	-	U+AE00:\uae00×1,U+B9AC:\ub9ac×1,U+BA38:\uba38×1	4	-	-	-	#3385	원문자 과제 번호 — 반복 머리글이 SVG 에만 붙음
excess-plan-pua-circled-01	excess	plan	plan	업무계획	1	0	1	-	U+F02FB:\U000f02fb×1	5	-	-	-	#3385	원문자 과제 번호 — 한컴 불릿 과잉
sub-pua-fffd-plan-pua-circled	substitution	plan	plan	업무계획	1	4	4	U+F02B1:\U000f02b1×1,U+F02B2:\U000f02b2×1,U+F02B3:\U000f02b3×1,U+F02B4:\U000f02b4×1	U+FFFD:\ufffd×4	4	-	-	-	#3385	원문자 과제 번호 — PUA→U+FFFD
match-manual-toc	match	manual	manual	장문 편람	1	0	0	-	-	0	-	-	-	#3389	편람 목차 — 동일 텍스트
match-reorder-manual-toc	match	manual	manual	장문 편람	1	0	0	-	-	0	-	-	-	#3389	편람 목차 — 어절 순서만 변경
excess-manual-toc-00	excess	manual	manual	장문 편람	1	0	3	-	U+AE00:\uae00×1,U+B9AC:\ub9ac×1,U+BA38:\uba38×1	0	-	-	-	#3389	편람 목차 — 반복 머리글이 SVG 에만 붙음
excess-manual-toc-01	excess	manual	manual	장문 편람	1	0	1	-	U+F02FB:\U000f02fb×1	1	-	-	-	#3389	편람 목차 — 한컴 불릿 과잉
sub-fullwidth-manual-toc	substitution	manual	manual	장문 편람	1	5	5	U+0031:1×1,U+0032:2×1,U+0033:3×1,U+0034:4×1,U+0035:5×1	U+FF11:\uff11×1,U+FF12:\uff12×1,U+FF13:\uff13×1,U+FF14:\uff14×1,U+FF15:\uff15×1	0	-	-	-	#3389	편람 목차 — 전각 숫자
match-manual-article	match	manual	manual	장문 편람	1	0	0	-	-	0	-	-	-	#3389	조문 본문 — 동일 텍스트
match-ws-manual-article	match	manual	manual	장문 편람	1	0	0	-	-	0	-	-	-	#3389	조문 본문 — 공백만 다름
match-nfd-manual-article	match	manual	manual	장문 편람	1	0	0	-	-	0	-	-	-	#3389	조문 본문 — NFD 한글
match-reorder-manual-article	match	manual	manual	장문 편람	1	0	0	-	-	0	-	-	-	#3389	조문 본문 — 어절 순서만 변경
loss-manual-article-04	loss	manual	manual	장문 편람	1	11	0	U+0028:(×1,U+0029:)×1,U+0031:1×1,U+0032:2×1,U+B9BD:\ub9bd×1,U+BB38:\ubb38×1,U+C11C:\uc11c×1,U+C131:\uc131×1,U+C758:\uc758×1,U+C81C:\uc81c×1,U+C870:\uc870×1	-	0	-	-	-	#3389	조문 본문 — 조문 번호 소실
excess-manual-article-00	excess	manual	manual	장문 편람	1	0	3	-	U+AE00:\uae00×1,U+B9AC:\ub9ac×1,U+BA38:\uba38×1	0	-	-	-	#3389	조문 본문 — 반복 머리글이 SVG 에만 붙음
excess-manual-article-01	excess	manual	manual	장문 편람	1	0	1	-	U+F02FB:\U000f02fb×1	1	-	-	-	#3389	조문 본문 — 한컴 불릿 과잉
sub-fullwidth-manual-article	substitution	manual	manual	장문 편람	1	2	2	U+0031:1×1,U+0032:2×1	U+FF11:\uff11×1,U+FF12:\uff12×1	0	-	-	-	#3389	조문 본문 — 전각 숫자
match-manual-note	match	manual	manual	장문 편람	1	0	0	-	-	0	-	-	-	#3389	해설 각주 — 동일 텍스트
match-reorder-manual-note	match	manual	manual	장문 편람	1	0	0	-	-	0	-	-	-	#3389	해설 각주 — 어절 순서만 변경
excess-manual-note-00	excess	manual	manual	장문 편람	1	0	3	-	U+AE00:\uae00×1,U+B9AC:\ub9ac×1,U+BA38:\uba38×1	0	-	-	-	#3389	해설 각주 — 반복 머리글이 SVG 에만 붙음
