id	family	sample	format	fieldCount	firstField	repeated	issue
field-01	sample	samples/field-01.hwp	hwp5	11	회사명	목차1	#3329
field-01-memo	sample	samples/field-01-memo.hwp	hwp5	11	회사명	목차1	#3281
form-01	sample	samples/form-01.hwp	hwp5	1	myMsg01		#3329
gian-1	공문서	tools/forms/일반기안문_서식.hwpx	hwpx	23	행정기관명		#3372
gian-2	공문서	tools/forms/간이기안문_서식.hwpx	hwpx	13	생산등록번호		#3372
reg-80168	규제	samples/80168_regulatory_analysis.hwp	hwp5	28	서식명	피규제집단명	#3476
hongbo	홍보	samples/20250130-hongbo.hwp	hwp5	12	기관명		#4781
trip-apply	인사	fixtures/forms/출장신청서.hwp	hwp5	14	소속		#3329
leave-apply	인사	fixtures/forms/휴가원.hwp	hwp5	12	소속		#3329
bokhak	학사	fixtures/forms/복학원서.hwp	hwp5	13	대학		#3329
admission	학사	fixtures/forms/입학원서.hwp	hwp5	15	수험번호		#3329
scholarship	학사	fixtures/forms/장학금신청서.hwp	hwp5	21	단과대학	가족성명,가족관계	#3329
minwon	민원	fixtures/forms/민원신청서.hwp	hwp5	14	민원제목	성명,주소,연락처	#3329
minutes	공문서	fixtures/forms/회의록.hwp	hwpx	18	회의명	참석자	#3372
sihaeng	공문서	fixtures/forms/시행문.hwp	hwpx	12	행정기관명		#3372
gongo	공문서	fixtures/forms/공고문.hwp	hwpx	11	공고기관		#3372
labor-contract	노무	fixtures/forms/근로계약서.hwp	hwp5	14	사업장명	성명,주소	#3329
hr-card	인사	fixtures/forms/인사기록카드.hwp	hwp5	20	사번	학력학교,학력전공,경력기관	#3329
health-survey	보건	fixtures/forms/건강검진문진표.hwp	hwp5	17	성명	복용약,과거병력	#3329
biz-reg	세무	fixtures/forms/사업자등록신청서.hwp	hwp5	14	상호	공동사업자	#3329
build-permit	인허가	fixtures/forms/건축허가신청서.hwp	hwp5	15	허가번호	성명	#3329
eia	환경	fixtures/forms/환경영향평가서.hwp	hwp5	13	사업명	평가항목	#3476
research-plan	연구	fixtures/forms/연구계획서.hwp	hwp5	14	과제명	공동연구원	#3476
eval-sheet	평가	fixtures/forms/평가표.hwp	hwp5	29	평가회차	평가항목,배점,점수	#3476
bid	계약	fixtures/forms/입찰참가신청서.hwp	hwp5	12	공고번호	성명	#3329
spend	회계	fixtures/forms/지출결의서.hwp	hwp5	19	결의번호	계정과목,적요,금액	#3329
pumui	공문서	fixtures/forms/품의서.hwp	hwpx	12	품의번호	검토자	#3372
hyopjo	공문서	fixtures/forms/협조전.hwp	hwpx	11	발신부서	수신부서	#3372
inspect	계약	fixtures/forms/검수조서.hwp	hwp5	22	계약명	품목,규격,수량	#3329
pass-apply	보안	fixtures/forms/출입증신청서.hwp	hwp5	13	신청구분	동반자	#3329
foi	민원	fixtures/forms/정보공개청구서.hwp	hwp5	11	청구기관	성명,주소	#3329
pii-access	민원	fixtures/forms/개인정보열람청구서.hwp	hwp5	10	처리기관	성명	#3329
car-log	총무	fixtures/forms/차량운행일지.hwp	hwp5	29	차량번호	운전자,출발지,도착지,주행거리	#3476
