case_id	command	exit	identical	has_signal	reproduced	page_count_a	page_count_b	page_count_mismatch	struct_status	struct_node	page_count_node	verify_identical	verify_diff_count	diff_count	fail_count	pass_count	verdict	regression	status	clean	signal_count	valid	finding_count	overflow_count	overlap_count	empty_page_count	expected	contradiction_id	success_tokens	fail_tokens	sample	source_format	agency	doc_kind	year	family
v-abstain-000001	info	0	1	0		1	1	0	PASS	page/0/body	page/0/body				0	0							0			0	pass		identical=true|hasSignal=false|pageCountMismatch=false|pageCountA==pageCountB|struct=PASS|failCount=0|findingCount=0|exit=0		samples/행정안전부/2016/기안문-고시-000001.hwp	hwp	행정안전부	고시	2016	기안문
v-abstain-015121	info	1				1				page/0/body	doc/1															1	fail			exit=1	samples/통계청/2025/정보공개-예규-015121.hwp	hwp	통계청	예규	2025	정보공개
v-abstain-027441	info	0	1	1		1				page/0/body	page/0/body															0	abstain	identical_and_has_signal	identical=true|exit=0	hasSignal=true	samples/통계청/2020/편람-업무계획-027441.hwp	hwp	통계청	업무계획	2020	편람
v-abstain-027442	info	3			1	1				page/0/body	page/0/body															0	abstain	reproduced_and_exit3	reproduced=true	exit=3	samples/기상청/2020/편람-업무계획-027442.hwpx	hwpx	기상청	업무계획	2020	편람
v-abstain-027443	info	4			1	1				page/0/body	page/0/body															0	abstain	reproduced_and_exit4	reproduced=true	exit=4	samples/관세청/2020/편람-업무계획-027443.hwp	hwp	관세청	업무계획	2020	편람
v-abstain-027444	info	1				1	1	0	STRUCT_MISMATCH	page/0/body	page/0/body															0	abstain	pagecount_match_and_struct_same_node	pageCountMismatch=false|pageCountA==pageCountB	struct=STRUCT_MISMATCH|exit=1	samples/검찰청/2020/편람-업무계획-027444.hwpx	hwpx	검찰청	업무계획	2020	편람
v-abstain-027445	info	1				1	1	1		page/0/body	page/0/body															0	abstain	pagecount_equal_and_mismatch_flag	pageCountA==pageCountB	pageCountMismatch=true|exit=1	samples/경찰청/2020/편람-업무계획-027445.hwp	hwp	경찰청	업무계획	2020	편람
v-abstain-027446	info	1				1	2	0		page/0/body	page/0/body															0	abstain	pagecount_unequal_and_match_flag	pageCountMismatch=false	pageCountA!=pageCountB|exit=1	samples/소방청/2020/편람-업무계획-027446.hwpx	hwpx	소방청	업무계획	2020	편람
v-abstain-027447	info	3				1				page/0/body	page/0/body	1	1													0	abstain	verify_identical_and_diffcount	verify.identical=true	verify.diffCount>0|exit=3	samples/해양경찰청/2020/편람-업무계획-027447.hwp	hwp	해양경찰청	업무계획	2020	편람
v-abstain-027448	info	3				1				page/0/body	page/0/body	0	0													0	abstain	verify_false_and_zero_diff	verify.diffCount=0	verify.identical=false|exit=3	samples/병무청/2020/편람-업무계획-027448.hwpx	hwpx	병무청	업무계획	2020	편람
