case_id	parent_out	child_in	parent_ok	lineage_ok	broken_at	verdict	source	kind	parent_state	valid	reproduced	exit_class	chain_accepted	evidence_kind	head	child_capsule	parent_capsule	depth	agency	doc_type	action	implementer_claim	family	hash_defect
v-lineage-000001	06c5e7b1127e7b81589669fa1bd6edb6d7fe843df440929fbcfa658bee4395ba	06c5e7b1127e7b81589669fa1bd6edb6d7fe843df440929fbcfa658bee4395ba	1	1		CHAIN_ACCEPTED	capsule	workCapsule	ok	1	1	0	1	lineage_hash_eq	capsules/과학기술정보통신부/과업지시서-000001-head.capsule.json	capsules/과학기술정보통신부/과업지시서-000001-child.capsule.json	capsules/과학기술정보통신부/과업지시서-000001-parent.capsule.json	2	과학기술정보통신부	과업지시서	replace_text	과학기술정보통신부 과업지시서 사슬(#000000)은 구현자가 이어졌다고 썼다. 가족=CHAIN_ACCEPTED. 이 문장은 판정에 쓰지 않는다. 연대기의 정의는 부모 산출 해시가 자식 입력 해시와 같은 것이다.	CHAIN_ACCEPTED	
v-lineage-000002	2fd1d4712eb9d9014d5dea918420a79f421601c4430452b70cd63b6458223f7d	c29c3001348818ed69ad066c1610fa7eb9dd51b6f3cf02d78e391d421df66ea5	1	0	capsules/행정안전부/과업지시서-000002-broken.capsule.json	LINEAGE_BROKEN	lineage	lineage	ok	0		3	0	lineage_hash_eq	capsules/행정안전부/과업지시서-000002-head.capsule.json	capsules/행정안전부/과업지시서-000002-child.capsule.json	capsules/행정안전부/과업지시서-000002-parent.capsule.json	2	행정안전부	과업지시서	replace_text	행정안전부 과업지시서 사슬(#000001)은 구현자가 이어졌다고 썼다. 가족=LINEAGE_BROKEN. 이 문장은 판정에 쓰지 않는다. 연대기의 정의는 부모 산출 해시가 자식 입력 해시와 같은 것이다.	LINEAGE_BROKEN	
v-lineage-000003	f893690388f1959b13dbe4f4ff581a067af4aab6ca7e19b26420e1b02fdb5704	f893690388f1959b13dbe4f4ff581a067af4aab6ca7e19b26420e1b02fdb5704	0	1	capsules/기획재정부/과업지시서-000003-parent.capsule.json	PARENT_TAMPERED	lineage	lineage	ok	0		3	0	none	capsules/기획재정부/과업지시서-000003-head.capsule.json	capsules/기획재정부/과업지시서-000003-child.capsule.json	capsules/기획재정부/과업지시서-000003-parent.capsule.json	2	기획재정부	과업지시서	replace_text	기획재정부 과업지시서 사슬(#000002)은 구현자가 이어졌다고 썼다. 가족=PARENT_TAMPERED. 이 문장은 판정에 쓰지 않는다. 연대기의 정의는 부모 산출 해시가 자식 입력 해시와 같은 것이다.	PARENT_TAMPERED	
v-lineage-000004	8403e371c208abe849fbd53c14a8f8ab507111dad5a4e7da99967d0cf981f7b0	77c4a9dfdb89c0c1baf1cb5075f1ec8aafe8b98dabbd120b1620325ed91e0c93				ROOT_ONLY	lineage	lineage	root	1		0	0	none	capsules/법무부/과업지시서-000004-head.capsule.json	capsules/법무부/과업지시서-000004-child.capsule.json	capsules/법무부/과업지시서-000004-parent.capsule.json	1	법무부	과업지시서	replace_text	법무부 과업지시서 사슬(#000003)은 구현자가 이어졌다고 썼다. 가족=ROOT_ONLY. 이 문장은 판정에 쓰지 않는다. 연대기의 정의는 부모 산출 해시가 자식 입력 해시와 같은 것이다.	ROOT_ONLY	
v-lineage-000005	5653a2460c27be16365562a92d9d6ff521359acb8e589bfd4ff1afd7952427d6	f4837aca28ca23000246b2da33002201286c2a5a55889cdc3dfb45dd6e568094				PROSE_NOT_EVIDENCE	prose		absent			2	0	none	capsules/교육부/과업지시서-000005-head.capsule.json	capsules/교육부/과업지시서-000005-child.capsule.json	capsules/교육부/과업지시서-000005-parent.capsule.json	2	교육부	과업지시서	replace_text	교육부 과업지시서 사슬(#000004)은 구현자가 이어졌다고 썼다. 가족=PROSE_NOT_EVIDENCE. 이 문장은 판정에 쓰지 않는다. 연대기의 정의는 부모 산출 해시가 자식 입력 해시와 같은 것이다.	PROSE_NOT_EVIDENCE	
v-lineage-000006	364b0de0cbb266af14150bf637a413a7821fb95002e5f7da43b4073bbd7c7f48	7ea407cdcf2732b3b33bcc8285605922835686924b220a905aff5cbf7804a6b3				HEAD_MISSING	io		absent			1	0	none	capsules/국방부/과업지시서-000006-head.capsule.json	capsules/국방부/과업지시서-000006-child.capsule.json	capsules/국방부/과업지시서-000006-parent.capsule.json	2	국방부	과업지시서	replace_text	국방부 과업지시서 사슬(#000005)은 구현자가 이어졌다고 썼다. 가족=HEAD_MISSING. 이 문장은 판정에 쓰지 않는다. 연대기의 정의는 부모 산출 해시가 자식 입력 해시와 같은 것이다.	HEAD_MISSING	
v-lineage-000007	d84c6f13de5cf51e38561466e67f74cd46e779720b40a971c16caed1443e3523	c36663ec39026587dcf584f5c9fbbd3531bfebbe48a855bf4e7d8a8553c2e4fe				USAGE	usage		absent			2	0	none	capsules/보건복지부/과업지시서-000007-head.capsule.json	capsules/보건복지부/과업지시서-000007-child.capsule.json	capsules/보건복지부/과업지시서-000007-parent.capsule.json	2	보건복지부	과업지시서	replace_text	보건복지부 과업지시서 사슬(#000006)은 구현자가 이어졌다고 썼다. 가족=USAGE. 이 문장은 판정에 쓰지 않는다. 연대기의 정의는 부모 산출 해시가 자식 입력 해시와 같은 것이다.	USAGE	
v-lineage-000008	ad975e6f4c80aa9f01b97c06a3dce8fb331d68791fab589af93d0696aa65902a	ad975e6f4c80aa9f01b97c06a3dce8fb331d68791fab589af93d0696aa65902a	1	1	capsules/고용노동부/과업지시서-000008-broken.capsule.json	PARENT_SHA_MISSING	lineage	lineage	sha_missing	0		3	0	none	capsules/고용노동부/과업지시서-000008-head.capsule.json	capsules/고용노동부/과업지시서-000008-child.capsule.json	capsules/고용노동부/과업지시서-000008-parent.capsule.json	2	고용노동부	과업지시서	fill_fields	고용노동부 과업지시서 사슬(#000007)은 구현자가 이어졌다고 썼다. 가족=PARENT_SHA_MISSING. 이 문장은 판정에 쓰지 않는다. 연대기의 정의는 부모 산출 해시가 자식 입력 해시와 같은 것이다.	PARENT_SHA_MISSING	
v-lineage-000009	59332e5c54f77880987688f583c3fff10d4e75c4a2ed7506c76023229f674ce9	59332e5c54f77880987688f583c3fff10d4e75c4a2ed7506c76023229f674ce9	1	1	capsules/국토교통부/과업지시서-000009-broken.capsule.json	PARENT_FIELD_MISSING	capsule	workCapsule	field_missing	0		3	0	none	capsules/국토교통부/과업지시서-000009-head.capsule.json	capsules/국토교통부/과업지시서-000009-child.capsule.json	capsules/국토교통부/과업지시서-000009-parent.capsule.json	2	국토교통부	과업지시서	fill_fields	국토교통부 과업지시서 사슬(#000008)은 구현자가 이어졌다고 썼다. 가족=PARENT_FIELD_MISSING. 이 문장은 판정에 쓰지 않는다. 연대기의 정의는 부모 산출 해시가 자식 입력 해시와 같은 것이다.	PARENT_FIELD_MISSING	
v-lineage-000010	6069d12554e4d63ade39b1e7b25950b6c5f95e9376427b76b194862ab3fe7239	6069d12554e4d63ade39b1e7b25950b6c5f95e9376427b76b194862ab3fe7239	1	1	capsules/환경부/과업지시서-000010-broken.capsule.json	KIND_NOT_CAPSULE	capsule	note-9	ok			3	0	none	capsules/환경부/과업지시서-000010-head.capsule.json	capsules/환경부/과업지시서-000010-child.capsule.json	capsules/환경부/과업지시서-000010-parent.capsule.json	2	환경부	과업지시서	fill_fields	환경부 과업지시서 사슬(#000009)은 구현자가 이어졌다고 썼다. 가족=KIND_NOT_CAPSULE. 이 문장은 판정에 쓰지 않는다. 연대기의 정의는 부모 산출 해시가 자식 입력 해시와 같은 것이다.	KIND_NOT_CAPSULE	
v-lineage-000011	0x052e6097849cf0334fa9d8982d922feee737f959f405b583772a456df84cbb1a	2a6976571f241165dd5c50110bfc3657372b6b62eafe9c799f02cace210b3284	1	1		HASH_DEFECT	lineage	lineage	ok			2	0	none	capsules/산업통상자원부/과업지시서-000011-head.capsule.json	capsules/산업통상자원부/과업지시서-000011-child.capsule.json	capsules/산업통상자원부/과업지시서-000011-parent.capsule.json	2	산업통상자원부	과업지시서	fill_fields	산업통상자원부 과업지시서 사슬(#000010)은 구현자가 이어졌다고 썼다. 가족=HASH_DEFECT. 이 문장은 판정에 쓰지 않는다. 연대기의 정의는 부모 산출 해시가 자식 입력 해시와 같은 것이다.	HASH_DEFECT	prefixed
v-lineage-000012	0132319a133c238994fc249e0d6c6fa3f43a46ae854c909148085899debee5b2	0132319a133c238994fc249e0d6c6fa3f43a46ae854c909148085899debee5b2	1	1	capsules/중소벤처기업부/과업지시서-000012-broken.capsule.json	ENVELOPE_CONTRADICTS	lineage	lineage	ok	1		3	0	none	capsules/중소벤처기업부/과업지시서-000012-head.capsule.json	capsules/중소벤처기업부/과업지시서-000012-child.capsule.json	capsules/중소벤처기업부/과업지시서-000012-parent.capsule.json	2	중소벤처기업부	과업지시서	fill_fields	중소벤처기업부 과업지시서 사슬(#000011)은 구현자가 이어졌다고 썼다. 가족=ENVELOPE_CONTRADICTS. 이 문장은 판정에 쓰지 않는다. 연대기의 정의는 부모 산출 해시가 자식 입력 해시와 같은 것이다.	ENVELOPE_CONTRADICTS	
v-lineage-000013	d845819244602d4933a68b72c4121920d19ce3cbe9dc0790181b7b3e08293422	d845819244602d4933a68b72c4121920d19ce3cbe9dc0790181b7b3e08293422	1	1		CHAIN_ACCEPTED	capsule	workCapsule	ok	1		0	1	lineage_hash_eq	capsules/문화체육관광부/과업지시서-000013-head.capsule.json	capsules/문화체육관광부/과업지시서-000013-child.capsule.json	capsules/문화체육관광부/과업지시서-000013-parent.capsule.json	2	문화체육관광부	과업지시서	fill_fields	문화체육관광부 과업지시서 사슬(#000012)은 구현자가 이어졌다고 썼다. 가족=CHAIN_ACCEPTED. 이 문장은 판정에 쓰지 않는다. 연대기의 정의는 부모 산출 해시가 자식 입력 해시와 같은 것이다.	CHAIN_ACCEPTED	
v-lineage-000014	277788a13f80b827e74b47e57e84f0749bc368ccca7aa256918725d41cfc257a	c03eda1684b479f1eccc86eafaf0eae240da3a0ee5261581d00bf8a10892a0b7	1	0	capsules/농림축산식품부/과업지시서-000014-broken.capsule.json	LINEAGE_BROKEN	lineage	lineage	ok	0		3	0	lineage_hash_eq	capsules/농림축산식품부/과업지시서-000014-head.capsule.json	capsules/농림축산식품부/과업지시서-000014-child.capsule.json	capsules/농림축산식품부/과업지시서-000014-parent.capsule.json	2	농림축산식품부	과업지시서	fill_fields	농림축산식품부 과업지시서 사슬(#000013)은 구현자가 이어졌다고 썼다. 가족=LINEAGE_BROKEN. 이 문장은 판정에 쓰지 않는다. 연대기의 정의는 부모 산출 해시가 자식 입력 해시와 같은 것이다.	LINEAGE_BROKEN	
v-lineage-000015	c6a0f512e6cef90c86904dd967bc9e8157f8a1fc8f5bbcc375c40f5fc337d595	c6a0f512e6cef90c86904dd967bc9e8157f8a1fc8f5bbcc375c40f5fc337d595	0	1	capsules/해양수산부/과업지시서-000015-parent.capsule.json	PARENT_TAMPERED	lineage	lineage	ok	0		3	0	none	capsules/해양수산부/과업지시서-000015-head.capsule.json	capsules/해양수산부/과업지시서-000015-child.capsule.json	capsules/해양수산부/과업지시서-000015-parent.capsule.json	2	해양수산부	과업지시서	set_cell	해양수산부 과업지시서 사슬(#000014)은 구현자가 이어졌다고 썼다. 가족=PARENT_TAMPERED. 이 문장은 판정에 쓰지 않는다. 연대기의 정의는 부모 산출 해시가 자식 입력 해시와 같은 것이다.	PARENT_TAMPERED	
v-lineage-000016	fa6079823041f0165b700ff047f83af38974cad1dba94ece48cba213185dfeb4	3094f59109dd140f8d2cb047ddc8c7d5585dd9738feddefe5a23dc064f675268				ROOT_ONLY	lineage	lineage	root	1		0	0	none	capsules/여성가족부/과업지시서-000016-head.capsule.json	capsules/여성가족부/과업지시서-000016-child.capsule.json	capsules/여성가족부/과업지시서-000016-parent.capsule.json	1	여성가족부	과업지시서	set_cell	여성가족부 과업지시서 사슬(#000015)은 구현자가 이어졌다고 썼다. 가족=ROOT_ONLY. 이 문장은 판정에 쓰지 않는다. 연대기의 정의는 부모 산출 해시가 자식 입력 해시와 같은 것이다.	ROOT_ONLY	
v-lineage-000017	c7eaa88e0a1e1d52ee0d35aa2ee80e9a85ff8b91ba2239423ad37aa07d5f3d0d	59bc506c1b475a5172e72612601652e749a9b9dd24e76a99eaf7b52f7b72e9f4				PROSE_NOT_EVIDENCE	prose		absent			2	0	none	capsules/통일부/과업지시서-000017-head.capsule.json	capsules/통일부/과업지시서-000017-child.capsule.json	capsules/통일부/과업지시서-000017-parent.capsule.json	2	통일부	과업지시서	set_cell	통일부 과업지시서 사슬(#000016)은 구현자가 이어졌다고 썼다. 가족=PROSE_NOT_EVIDENCE. 이 문장은 판정에 쓰지 않는다. 연대기의 정의는 부모 산출 해시가 자식 입력 해시와 같은 것이다.	PROSE_NOT_EVIDENCE	
v-lineage-000018	de455b51b368d8374771f24e0aa3f04f37ae5b9ba855c911db4d2da82aca723f	53c1d0cd7887e97ea45f9ba8d1568f14490707aa4011c81b1903ee3eedb6632b				HEAD_MISSING	io		absent			1	0	none	capsules/외교부/과업지시서-000018-head.capsule.json	capsules/외교부/과업지시서-000018-child.capsule.json	capsules/외교부/과업지시서-000018-parent.capsule.json	2	외교부	과업지시서	set_cell	외교부 과업지시서 사슬(#000017)은 구현자가 이어졌다고 썼다. 가족=HEAD_MISSING. 이 문장은 판정에 쓰지 않는다. 연대기의 정의는 부모 산출 해시가 자식 입력 해시와 같은 것이다.	HEAD_MISSING	
v-lineage-000019	273a110be54fc41e7f7c305c8c5b7628a52f73b4bc30e128ce0a4b8a140144cb	03b9d8c4fe592e4239ba8a2943c5c2ac15f458613e01ca9134fcc332ff67360d				USAGE	usage		absent			2	0	none	capsules/국가보훈부/과업지시서-000019-head.capsule.json	capsules/국가보훈부/과업지시서-000019-child.capsule.json	capsules/국가보훈부/과업지시서-000019-parent.capsule.json	2	국가보훈부	과업지시서	set_cell	국가보훈부 과업지시서 사슬(#000018)은 구현자가 이어졌다고 썼다. 가족=USAGE. 이 문장은 판정에 쓰지 않는다. 연대기의 정의는 부모 산출 해시가 자식 입력 해시와 같은 것이다.	USAGE	
v-lineage-000020	f46541ec31ebfb857effef3d0086b308154cecc1fbaf7e3337ff4a85c0f31c74	f46541ec31ebfb857effef3d0086b308154cecc1fbaf7e3337ff4a85c0f31c74	1	1	capsules/인사혁신처/과업지시서-000020-broken.capsule.json	PARENT_SHA_MISSING	lineage	lineage	sha_missing	0		3	0	none	capsules/인사혁신처/과업지시서-000020-head.capsule.json	capsules/인사혁신처/과업지시서-000020-child.capsule.json	capsules/인사혁신처/과업지시서-000020-parent.capsule.json	2	인사혁신처	과업지시서	set_cell	인사혁신처 과업지시서 사슬(#000019)은 구현자가 이어졌다고 썼다. 가족=PARENT_SHA_MISSING. 이 문장은 판정에 쓰지 않는다. 연대기의 정의는 부모 산출 해시가 자식 입력 해시와 같은 것이다.	PARENT_SHA_MISSING	
v-lineage-000021	06a0b7459e8f388bd5717509b17f97c13eb6d54012857a10d06919c7b0e333f4	06a0b7459e8f388bd5717509b17f97c13eb6d54012857a10d06919c7b0e333f4	1	1	capsules/국무조정실/과업지시서-000021-broken.capsule.json	PARENT_FIELD_MISSING	capsule	workCapsule	field_missing	0		3	0	none	capsules/국무조정실/과업지시서-000021-head.capsule.json	capsules/국무조정실/과업지시서-000021-child.capsule.json	capsules/국무조정실/과업지시서-000021-parent.capsule.json	2	국무조정실	과업지시서	set_cell	국무조정실 과업지시서 사슬(#000020)은 구현자가 이어졌다고 썼다. 가족=PARENT_FIELD_MISSING. 이 문장은 판정에 쓰지 않는다. 연대기의 정의는 부모 산출 해시가 자식 입력 해시와 같은 것이다.	PARENT_FIELD_MISSING	
