case_id	parent_out	child_in	parent_ok	lineage_ok	broken_at	source	kind	parent_state	reproduced	expected_verdict_class
G-accept	3c1c839b9b750e90a88239cf7052f46858ebefac8d4e2f985d4fac7699c7a5b3	3c1c839b9b750e90a88239cf7052f46858ebefac8d4e2f985d4fac7699c7a5b3	1	1		lineage	lineage	ok		CHAIN_ACCEPTED
G-accept-upper	3C1C839B9B750E90A88239CF7052F46858EBEFAC8D4E2F985D4FAC7699C7A5B3	3c1c839b9b750e90a88239cf7052f46858ebefac8d4e2f985d4fac7699c7a5b3	1	1		lineage	lineage	ok		CHAIN_ACCEPTED
G-broken	3c1c839b9b750e90a88239cf7052f46858ebefac8d4e2f985d4fac7699c7a5b3	0000000000000000000000000000000000000000000000000000000000000000	1	0	child.capsule.json	lineage	lineage	ok		LINEAGE_BROKEN
G-tamper	3c1c839b9b750e90a88239cf7052f46858ebefac8d4e2f985d4fac7699c7a5b3	3c1c839b9b750e90a88239cf7052f46858ebefac8d4e2f985d4fac7699c7a5b3	0	1	parent.capsule.json	lineage	lineage	ok		PARENT_TAMPERED
G-root	3c1c839b9b750e90a88239cf7052f46858ebefac8d4e2f985d4fac7699c7a5b3	9872f62399b737c8ebe6cbe2adff4a9d777642e0cd507234428c8e9b3a439a3c				lineage	lineage	root		ROOT_ONLY
G-prose	3c1c839b9b750e90a88239cf7052f46858ebefac8d4e2f985d4fac7699c7a5b3	3c1c839b9b750e90a88239cf7052f46858ebefac8d4e2f985d4fac7699c7a5b3	1	1		prose			1	PROSE_NOT_EVIDENCE
G-head	3c1c839b9b750e90a88239cf7052f46858ebefac8d4e2f985d4fac7699c7a5b3	3c1c839b9b750e90a88239cf7052f46858ebefac8d4e2f985d4fac7699c7a5b3				io		absent		HEAD_MISSING
G-usage	3c1c839b9b750e90a88239cf7052f46858ebefac8d4e2f985d4fac7699c7a5b3	3c1c839b9b750e90a88239cf7052f46858ebefac8d4e2f985d4fac7699c7a5b3				usage		absent		USAGE
G-parent-sha	3c1c839b9b750e90a88239cf7052f46858ebefac8d4e2f985d4fac7699c7a5b3	3c1c839b9b750e90a88239cf7052f46858ebefac8d4e2f985d4fac7699c7a5b3	1	1	no_sha.capsule.json	lineage	lineage	sha_missing		PARENT_SHA_MISSING
G-parent-field	3c1c839b9b750e90a88239cf7052f46858ebefac8d4e2f985d4fac7699c7a5b3	3c1c839b9b750e90a88239cf7052f46858ebefac8d4e2f985d4fac7699c7a5b3	1	1	orphan.capsule.json	capsule	workCapsule	field_missing		PARENT_FIELD_MISSING
G-kind	3c1c839b9b750e90a88239cf7052f46858ebefac8d4e2f985d4fac7699c7a5b3	3c1c839b9b750e90a88239cf7052f46858ebefac8d4e2f985d4fac7699c7a5b3	1	1	note.json	capsule	note	ok		KIND_NOT_CAPSULE
G-hash-defect	deadbeef	3c1c839b9b750e90a88239cf7052f46858ebefac8d4e2f985d4fac7699c7a5b3	1	1		lineage	lineage	ok		HASH_DEFECT
G-contradict	3c1c839b9b750e90a88239cf7052f46858ebefac8d4e2f985d4fac7699c7a5b3	0000000000000000000000000000000000000000000000000000000000000000	1	1	liar.capsule.json	lineage	lineage	ok		ENVELOPE_CONTRADICTS
G-deep-ignored	3c1c839b9b750e90a88239cf7052f46858ebefac8d4e2f985d4fac7699c7a5b3	3c1c839b9b750e90a88239cf7052f46858ebefac8d4e2f985d4fac7699c7a5b3	1	1		lineage	lineage	ok	0	CHAIN_ACCEPTED
