has_hangul_pdf	versions	page_count_match	render_self_pass	cheap_ok	expected_verdict_class
0	none	0	0	0	NO_ORACLE_SELF_CHEAP_FAIL
0	none	0	0	1	NO_ORACLE_SELF_RENDER_FAIL
0	none	0	1	0	NO_ORACLE_SELF_CHEAP_FAIL
0	none	0	1	1	NO_ORACLE_SELF_CONSISTENT
0	none	1	0	0	NO_ORACLE_SELF_CHEAP_FAIL
0	none	1	0	1	NO_ORACLE_SELF_RENDER_FAIL
0	none	1	1	0	NO_ORACLE_SELF_CHEAP_FAIL
0	none	1	1	1	NO_ORACLE_SELF_CONSISTENT
1	none	0	0	0	ORACLE_UNVERSIONED
1	none	0	0	1	ORACLE_UNVERSIONED
1	none	0	1	0	ORACLE_UNVERSIONED
1	none	0	1	1	ORACLE_UNVERSIONED
1	none	1	0	0	ORACLE_UNVERSIONED
1	none	1	0	1	ORACLE_UNVERSIONED
1	none	1	1	0	ORACLE_UNVERSIONED
1	none	1	1	1	ORACLE_UNVERSIONED
0	-	0	0	0	NO_ORACLE_SELF_CHEAP_FAIL
0	-	0	0	1	NO_ORACLE_SELF_RENDER_FAIL
0	-	0	1	0	NO_ORACLE_SELF_CHEAP_FAIL
0	-	0	1	1	NO_ORACLE_SELF_CONSISTENT
0	-	1	0	0	NO_ORACLE_SELF_CHEAP_FAIL
0	-	1	0	1	NO_ORACLE_SELF_RENDER_FAIL
0	-	1	1	0	NO_ORACLE_SELF_CHEAP_FAIL
0	-	1	1	1	NO_ORACLE_SELF_CONSISTENT
1	-	0	0	0	ORACLE_UNVERSIONED
1	-	0	0	1	ORACLE_UNVERSIONED
1	-	0	1	0	ORACLE_UNVERSIONED
1	-	0	1	1	ORACLE_UNVERSIONED
1	-	1	0	0	ORACLE_UNVERSIONED
1	-	1	0	1	ORACLE_UNVERSIONED
1	-	1	1	0	ORACLE_UNVERSIONED
1	-	1	1	1	ORACLE_UNVERSIONED
0	unmatched	0	0	0	NO_ORACLE_SELF_CHEAP_FAIL
0	unmatched	0	0	1	NO_ORACLE_SELF_RENDER_FAIL
0	unmatched	0	1	0	NO_ORACLE_SELF_CHEAP_FAIL
0	unmatched	0	1	1	NO_ORACLE_SELF_CONSISTENT
0	unmatched	1	0	0	NO_ORACLE_SELF_CHEAP_FAIL
0	unmatched	1	0	1	NO_ORACLE_SELF_RENDER_FAIL
0	unmatched	1	1	0	NO_ORACLE_SELF_CHEAP_FAIL
0	unmatched	1	1	1	NO_ORACLE_SELF_CONSISTENT
1	unmatched	0	0	0	ORACLE_UNVERSIONED
1	unmatched	0	0	1	ORACLE_UNVERSIONED
1	unmatched	0	1	0	ORACLE_UNVERSIONED
1	unmatched	0	1	1	ORACLE_UNVERSIONED
1	unmatched	1	0	0	ORACLE_UNVERSIONED
1	unmatched	1	0	1	ORACLE_UNVERSIONED
1	unmatched	1	1	0	ORACLE_UNVERSIONED
1	unmatched	1	1	1	ORACLE_UNVERSIONED
0	unknown	0	0	0	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	unknown	0	0	1	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	unknown	0	1	0	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	unknown	0	1	1	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	unknown	1	0	0	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	unknown	1	0	1	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	unknown	1	1	0	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	unknown	1	1	1	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
1	unknown	0	0	0	ORACLE_UNVERSIONED
1	unknown	0	0	1	ORACLE_UNVERSIONED
1	unknown	0	1	0	ORACLE_UNVERSIONED
1	unknown	0	1	1	ORACLE_UNVERSIONED
1	unknown	1	0	0	ORACLE_UNVERSIONED
1	unknown	1	0	1	ORACLE_UNVERSIONED
1	unknown	1	1	0	ORACLE_UNVERSIONED
1	unknown	1	1	1	ORACLE_UNVERSIONED
0	unparsed	0	0	0	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
0	unparsed	0	0	1	NO_ORACLE_VERSION_TOKEN_WITHOUT_PDF
