check_a	check_b	a_pass	b_pass	expected_joint	expected_verdict_class
ir-diff	verify-pages	1	1	1	JOINT_PASS
ir-diff	verify-pages	1	0	0	SHADOW_A_ONLY
ir-diff	verify-pages	0	1	0	SHADOW_B_ONLY
ir-diff	verify-pages	0	0	0	JOINT_BOTH_FAIL
ir-diff	fill-verify	1	1	1	JOINT_PASS
ir-diff	fill-verify	1	0	0	SHADOW_A_ONLY
ir-diff	fill-verify	0	1	0	SHADOW_B_ONLY
ir-diff	fill-verify	0	0	0	JOINT_BOTH_FAIL
ir-diff	layout-anomaly	1	1	1	JOINT_PASS
ir-diff	layout-anomaly	1	0	0	SHADOW_A_ONLY
ir-diff	layout-anomaly	0	1	0	SHADOW_B_ONLY
ir-diff	layout-anomaly	0	0	0	JOINT_BOTH_FAIL
ir-diff	render-diff	1	1	1	JOINT_PASS
ir-diff	render-diff	1	0	0	SHADOW_A_ONLY
ir-diff	render-diff	0	1	0	SHADOW_B_ONLY
ir-diff	render-diff	0	0	0	JOINT_BOTH_FAIL
ir-diff	dump-pages	1	1	1	JOINT_PASS
ir-diff	dump-pages	1	0	0	SHADOW_A_ONLY
ir-diff	dump-pages	0	1	0	SHADOW_B_ONLY
ir-diff	dump-pages	0	0	0	JOINT_BOTH_FAIL
ir-diff	info	1	1	1	JOINT_PASS
ir-diff	info	1	0	0	SHADOW_A_ONLY
ir-diff	info	0	1	0	SHADOW_B_ONLY
ir-diff	info	0	0	0	JOINT_BOTH_FAIL
ir-diff	inspect-hidden	1	1	1	JOINT_PASS
ir-diff	inspect-hidden	1	0	0	SHADOW_A_ONLY
ir-diff	inspect-hidden	0	1	0	SHADOW_B_ONLY
ir-diff	inspect-hidden	0	0	0	JOINT_BOTH_FAIL
ir-diff	inspect-injection	1	1	1	JOINT_PASS
ir-diff	inspect-injection	1	0	0	SHADOW_A_ONLY
ir-diff	inspect-injection	0	1	0	SHADOW_B_ONLY
ir-diff	inspect-injection	0	0	0	JOINT_BOTH_FAIL
ir-diff	inspect-unicode	1	1	1	JOINT_PASS
ir-diff	inspect-unicode	1	0	0	SHADOW_A_ONLY
ir-diff	inspect-unicode	0	1	0	SHADOW_B_ONLY
ir-diff	inspect-unicode	0	0	0	JOINT_BOTH_FAIL
ir-diff	inspect-watermark	1	1	1	JOINT_PASS
ir-diff	inspect-watermark	1	0	0	SHADOW_A_ONLY
ir-diff	inspect-watermark	0	1	0	SHADOW_B_ONLY
ir-diff	inspect-watermark	0	0	0	JOINT_BOTH_FAIL
ir-diff	replay	1	1	1	JOINT_PASS
ir-diff	replay	1	0	0	SHADOW_A_ONLY
ir-diff	replay	0	1	0	SHADOW_B_ONLY
ir-diff	replay	0	0	0	JOINT_BOTH_FAIL
ir-diff	audit	1	1	1	JOINT_PASS
ir-diff	audit	1	0	0	SHADOW_A_ONLY
ir-diff	audit	0	1	0	SHADOW_B_ONLY
ir-diff	audit	0	0	0	JOINT_BOTH_FAIL
ir-diff	lineage	1	1	1	JOINT_PASS
ir-diff	lineage	1	0	0	SHADOW_A_ONLY
ir-diff	lineage	0	1	0	SHADOW_B_ONLY
ir-diff	lineage	0	0	0	JOINT_BOTH_FAIL
ir-diff	csv-to-table-verify	1	1	1	JOINT_PASS
ir-diff	csv-to-table-verify	1	0	0	SHADOW_A_ONLY
ir-diff	csv-to-table-verify	0	1	0	SHADOW_B_ONLY
ir-diff	csv-to-table-verify	0	0	0	JOINT_BOTH_FAIL
ir-diff	sanitize-verify	1	1	1	JOINT_PASS
ir-diff	sanitize-verify	1	0	0	SHADOW_A_ONLY
ir-diff	sanitize-verify	0	1	0	SHADOW_B_ONLY
ir-diff	sanitize-verify	0	0	0	JOINT_BOTH_FAIL
verify-pages	ir-diff	1	1	1	JOINT_PASS
verify-pages	ir-diff	1	0	0	SHADOW_A_ONLY
verify-pages	ir-diff	0	1	0	SHADOW_B_ONLY
verify-pages	ir-diff	0	0	0	JOINT_BOTH_FAIL
verify-pages	fill-verify	1	1	1	JOINT_PASS
verify-pages	fill-verify	1	0	0	SHADOW_A_ONLY
verify-pages	fill-verify	0	1	0	SHADOW_B_ONLY
verify-pages	fill-verify	0	0	0	JOINT_BOTH_FAIL
verify-pages	layout-anomaly	1	1	1	JOINT_PASS
verify-pages	layout-anomaly	1	0	0	SHADOW_A_ONLY
verify-pages	layout-anomaly	0	1	0	SHADOW_B_ONLY
verify-pages	layout-anomaly	0	0	0	JOINT_BOTH_FAIL
verify-pages	render-diff	1	1	1	JOINT_PASS
verify-pages	render-diff	1	0	0	SHADOW_A_ONLY
verify-pages	render-diff	0	1	0	SHADOW_B_ONLY
verify-pages	render-diff	0	0	0	JOINT_BOTH_FAIL
verify-pages	dump-pages	1	1	1	JOINT_PASS
verify-pages	dump-pages	1	0	0	SHADOW_A_ONLY
verify-pages	dump-pages	0	1	0	SHADOW_B_ONLY
verify-pages	dump-pages	0	0	0	JOINT_BOTH_FAIL
verify-pages	info	1	1	1	JOINT_PASS
verify-pages	info	1	0	0	SHADOW_A_ONLY
verify-pages	info	0	1	0	SHADOW_B_ONLY
verify-pages	info	0	0	0	JOINT_BOTH_FAIL
verify-pages	inspect-hidden	1	1	1	JOINT_PASS
verify-pages	inspect-hidden	1	0	0	SHADOW_A_ONLY
verify-pages	inspect-hidden	0	1	0	SHADOW_B_ONLY
verify-pages	inspect-hidden	0	0	0	JOINT_BOTH_FAIL
verify-pages	inspect-injection	1	1	1	JOINT_PASS
verify-pages	inspect-injection	1	0	0	SHADOW_A_ONLY
verify-pages	inspect-injection	0	1	0	SHADOW_B_ONLY
verify-pages	inspect-injection	0	0	0	JOINT_BOTH_FAIL
verify-pages	inspect-unicode	1	1	1	JOINT_PASS
verify-pages	inspect-unicode	1	0	0	SHADOW_A_ONLY
verify-pages	inspect-unicode	0	1	0	SHADOW_B_ONLY
verify-pages	inspect-unicode	0	0	0	JOINT_BOTH_FAIL
verify-pages	inspect-watermark	1	1	1	JOINT_PASS
verify-pages	inspect-watermark	1	0	0	SHADOW_A_ONLY
verify-pages	inspect-watermark	0	1	0	SHADOW_B_ONLY
verify-pages	inspect-watermark	0	0	0	JOINT_BOTH_FAIL
verify-pages	replay	1	1	1	JOINT_PASS
verify-pages	replay	1	0	0	SHADOW_A_ONLY
verify-pages	replay	0	1	0	SHADOW_B_ONLY
verify-pages	replay	0	0	0	JOINT_BOTH_FAIL
verify-pages	audit	1	1	1	JOINT_PASS
verify-pages	audit	1	0	0	SHADOW_A_ONLY
verify-pages	audit	0	1	0	SHADOW_B_ONLY
verify-pages	audit	0	0	0	JOINT_BOTH_FAIL
verify-pages	lineage	1	1	1	JOINT_PASS
verify-pages	lineage	1	0	0	SHADOW_A_ONLY
verify-pages	lineage	0	1	0	SHADOW_B_ONLY
verify-pages	lineage	0	0	0	JOINT_BOTH_FAIL
verify-pages	csv-to-table-verify	1	1	1	JOINT_PASS
verify-pages	csv-to-table-verify	1	0	0	SHADOW_A_ONLY
verify-pages	csv-to-table-verify	0	1	0	SHADOW_B_ONLY
verify-pages	csv-to-table-verify	0	0	0	JOINT_BOTH_FAIL
verify-pages	sanitize-verify	1	1	1	JOINT_PASS
verify-pages	sanitize-verify	1	0	0	SHADOW_A_ONLY
verify-pages	sanitize-verify	0	1	0	SHADOW_B_ONLY
verify-pages	sanitize-verify	0	0	0	JOINT_BOTH_FAIL
fill-verify	ir-diff	1	1	1	JOINT_PASS
fill-verify	ir-diff	1	0	0	SHADOW_A_ONLY
fill-verify	ir-diff	0	1	0	SHADOW_B_ONLY
fill-verify	ir-diff	0	0	0	JOINT_BOTH_FAIL
fill-verify	verify-pages	1	1	1	JOINT_PASS
fill-verify	verify-pages	1	0	0	SHADOW_A_ONLY
fill-verify	verify-pages	0	1	0	SHADOW_B_ONLY
