id	attest_version	verify_version	reproduced	accepted	reason	family
tvg-096000	0.8.4+build.2	0.7.14	true	false	STALE_TOOL	build_meta
tvg-096001	0.8.4+build.2	0.7.14	false	false	STALE_AND_NOT_REPRODUCED	build_meta
tvg-096002	0.8.4+build.2	0.7.15	true	false	STALE_TOOL	build_meta
tvg-096003	0.8.4+build.2	0.7.15	false	false	STALE_AND_NOT_REPRODUCED	build_meta
tvg-096004	0.8.4+build.2	0.8.0	true	false	STALE_TOOL	build_meta
tvg-096005	0.8.4+build.2	0.8.0	false	false	STALE_AND_NOT_REPRODUCED	build_meta
tvg-096006	0.8.4+build.2	0.8.1	true	false	STALE_TOOL	build_meta
tvg-096007	0.8.4+build.2	0.8.1	false	false	STALE_AND_NOT_REPRODUCED	build_meta
tvg-096008	0.8.4+build.2	0.8.2	true	false	STALE_TOOL	build_meta
tvg-096009	0.8.4+build.2	0.8.2	false	false	STALE_AND_NOT_REPRODUCED	build_meta
tvg-096010	0.8.4+build.2	0.8.3	true	false	STALE_TOOL	build_meta
tvg-096011	0.8.4+build.2	0.8.3	false	false	STALE_AND_NOT_REPRODUCED	build_meta
tvg-096012	0.8.4+build.2	0.8.4	true	false	STALE_TOOL	build_meta
tvg-096013	0.8.4+build.2	0.8.4	false	false	STALE_AND_NOT_REPRODUCED	build_meta
tvg-096014	0.8.4+build.2	0.8.5	true	false	STALE_TOOL	build_meta
tvg-096015	0.8.4+build.2	0.8.5	false	false	STALE_AND_NOT_REPRODUCED	build_meta
tvg-096016	0.8.4+build.2	0.8.6	true	false	STALE_TOOL	build_meta
tvg-096017	0.8.4+build.2	0.8.6	false	false	STALE_AND_NOT_REPRODUCED	build_meta
tvg-096018	0.8.4+build.2	0.8.7	true	false	STALE_TOOL	build_meta
tvg-096019	0.8.4+build.2	0.8.7	false	false	STALE_AND_NOT_REPRODUCED	build_meta
tvg-096020	0.8.4+build.2	0.8.8	true	false	STALE_TOOL	build_meta
tvg-096021	0.8.4+build.2	0.8.8	false	false	STALE_AND_NOT_REPRODUCED	build_meta
tvg-096022	0.8.4+build.2	0.8.9	true	false	STALE_TOOL	build_meta
tvg-096023	0.8.4+build.2	0.8.9	false	false	STALE_AND_NOT_REPRODUCED	build_meta
tvg-096024	0.8.4+build.2	0.8.10	true	false	STALE_TOOL	build_meta
tvg-096025	0.8.4+build.2	0.8.10	false	false	STALE_AND_NOT_REPRODUCED	build_meta
tvg-096026	0.8.4+build.2	0.8.11	true	false	STALE_TOOL	build_meta
tvg-096027	0.8.4+build.2	0.8.11	false	false	STALE_AND_NOT_REPRODUCED	build_meta
tvg-096028	0.8.4+build.2	0.8.12	true	false	STALE_TOOL	build_meta
tvg-096029	0.8.4+build.2	0.8.12	false	false	STALE_AND_NOT_REPRODUCED	build_meta
tvg-096030	0.8.4+build.2	0.8.13	true	false	STALE_TOOL	build_meta
tvg-096031	0.8.4+build.2	0.8.13	false	false	STALE_AND_NOT_REPRODUCED	build_meta
tvg-096032	0.8.4+build.2	0.8.14	true	false	STALE_TOOL	build_meta
tvg-096033	0.8.4+build.2	0.8.14	false	false	STALE_AND_NOT_REPRODUCED	build_meta
tvg-096034	0.8.4+build.2	0.8.15	true	false	STALE_TOOL	build_meta
tvg-096035	0.8.4+build.2	0.8.15	false	false	STALE_AND_NOT_REPRODUCED	build_meta
tvg-096036	0.8.4+build.2	0.9.0	true	false	STALE_TOOL	build_meta
tvg-096037	0.8.4+build.2	0.9.0	false	false	STALE_AND_NOT_REPRODUCED	build_meta
tvg-096038	0.8.4+build.2	0.9.1	true	false	STALE_TOOL	build_meta
tvg-096039	0.8.4+build.2	0.9.1	false	false	STALE_AND_NOT_REPRODUCED	build_meta
tvg-096040	0.8.4+build.2	0.9.2	true	false	STALE_TOOL	build_meta
tvg-096041	0.8.4+build.2	0.9.2	false	false	STALE_AND_NOT_REPRODUCED	build_meta
tvg-096042	0.8.4+build.2	0.9.3	true	false	STALE_TOOL	build_meta
tvg-096043	0.8.4+build.2	0.9.3	false	false	STALE_AND_NOT_REPRODUCED	build_meta
tvg-096044	0.8.4+build.2	0.9.4	true	false	STALE_TOOL	build_meta
tvg-096045	0.8.4+build.2	0.9.4	false	false	STALE_AND_NOT_REPRODUCED	build_meta
tvg-096046	0.8.4+build.2	0.9.5	true	false	STALE_TOOL	build_meta
tvg-096047	0.8.4+build.2	0.9.5	false	false	STALE_AND_NOT_REPRODUCED	build_meta
tvg-096048	0.8.4+build.2	0.9.6	true	false	STALE_TOOL	build_meta
tvg-096049	0.8.4+build.2	0.9.6	false	false	STALE_AND_NOT_REPRODUCED	build_meta
tvg-096050	0.8.4+build.2	0.9.7	true	false	STALE_TOOL	build_meta
