slot	leaked_into_criteria	nonce_kind	source_label_kind	wrap_state	expected_block
criteria	0	fresh	caller_path	unmarked	1
criteria	0	fresh	handle	unmarked	1
criteria	0	fresh	document_title	unmarked	1
criteria	0	empty	caller_path	unmarked	1
criteria	0	empty	handle	unmarked	1
criteria	0	empty	document_title	unmarked	1
criteria	0	static	caller_path	static_marker	1
criteria	0	static	handle	static_marker	1
criteria	0	static	document_title	static_marker	1
criteria	0	collision	caller_path	nonce_collision	1
criteria	0	collision	handle	nonce_collision	1
criteria	0	collision	document_title	nonce_collision	1
criteria	0	reused	caller_path	reused_nonce	1
criteria	0	reused	handle	reused_nonce	1
criteria	0	reused	document_title	reused_nonce	1
criteria	1	fresh	caller_path	unmarked	1
criteria	1	fresh	handle	unmarked	1
criteria	1	fresh	document_title	unmarked	1
criteria	1	empty	caller_path	unmarked	1
criteria	1	empty	handle	unmarked	1
criteria	1	empty	document_title	unmarked	1
criteria	1	static	caller_path	static_marker	1
criteria	1	static	handle	static_marker	1
criteria	1	static	document_title	static_marker	1
criteria	1	collision	caller_path	nonce_collision	1
criteria	1	collision	handle	nonce_collision	1
criteria	1	collision	document_title	nonce_collision	1
criteria	1	reused	caller_path	reused_nonce	1
criteria	1	reused	handle	reused_nonce	1
criteria	1	reused	document_title	reused_nonce	1
system_prompt	0	fresh	caller_path	unmarked	1
system_prompt	0	fresh	handle	unmarked	1
system_prompt	0	fresh	document_title	unmarked	1
system_prompt	0	empty	caller_path	unmarked	1
system_prompt	0	empty	handle	unmarked	1
system_prompt	0	empty	document_title	unmarked	1
system_prompt	0	static	caller_path	static_marker	1
system_prompt	0	static	handle	static_marker	1
system_prompt	0	static	document_title	static_marker	1
system_prompt	0	collision	caller_path	nonce_collision	1
system_prompt	0	collision	handle	nonce_collision	1
system_prompt	0	collision	document_title	nonce_collision	1
system_prompt	0	reused	caller_path	reused_nonce	1
system_prompt	0	reused	handle	reused_nonce	1
system_prompt	0	reused	document_title	reused_nonce	1
system_prompt	1	fresh	caller_path	unmarked	1
system_prompt	1	fresh	handle	unmarked	1
system_prompt	1	fresh	document_title	unmarked	1
system_prompt	1	empty	caller_path	unmarked	1
system_prompt	1	empty	handle	unmarked	1
system_prompt	1	empty	document_title	unmarked	1
system_prompt	1	static	caller_path	static_marker	1
system_prompt	1	static	handle	static_marker	1
system_prompt	1	static	document_title	static_marker	1
system_prompt	1	collision	caller_path	nonce_collision	1
system_prompt	1	collision	handle	nonce_collision	1
system_prompt	1	collision	document_title	nonce_collision	1
system_prompt	1	reused	caller_path	reused_nonce	1
system_prompt	1	reused	handle	reused_nonce	1
system_prompt	1	reused	document_title	reused_nonce	1
tool_arg_path	0	fresh	caller_path	unmarked	1
tool_arg_path	0	fresh	handle	unmarked	1
tool_arg_path	0	fresh	document_title	unmarked	1
tool_arg_path	0	empty	caller_path	unmarked	1
tool_arg_path	0	empty	handle	unmarked	1
tool_arg_path	0	empty	document_title	unmarked	1
tool_arg_path	0	static	caller_path	static_marker	1
tool_arg_path	0	static	handle	static_marker	1
tool_arg_path	0	static	document_title	static_marker	1
tool_arg_path	0	collision	caller_path	nonce_collision	1
tool_arg_path	0	collision	handle	nonce_collision	1
tool_arg_path	0	collision	document_title	nonce_collision	1
tool_arg_path	0	reused	caller_path	reused_nonce	1
tool_arg_path	0	reused	handle	reused_nonce	1
tool_arg_path	0	reused	document_title	reused_nonce	1
tool_arg_path	1	fresh	caller_path	unmarked	1
tool_arg_path	1	fresh	handle	unmarked	1
tool_arg_path	1	fresh	document_title	unmarked	1
tool_arg_path	1	empty	caller_path	unmarked	1
tool_arg_path	1	empty	handle	unmarked	1
tool_arg_path	1	empty	document_title	unmarked	1
tool_arg_path	1	static	caller_path	static_marker	1
tool_arg_path	1	static	handle	static_marker	1
tool_arg_path	1	static	document_title	static_marker	1
tool_arg_path	1	collision	caller_path	nonce_collision	1
tool_arg_path	1	collision	handle	nonce_collision	1
tool_arg_path	1	collision	document_title	nonce_collision	1
tool_arg_path	1	reused	caller_path	reused_nonce	1
tool_arg_path	1	reused	handle	reused_nonce	1
tool_arg_path	1	reused	document_title	reused_nonce	1
tool_name	0	fresh	caller_path	unmarked	1
tool_name	0	fresh	handle	unmarked	1
tool_name	0	fresh	document_title	unmarked	1
tool_name	0	empty	caller_path	unmarked	1
tool_name	0	empty	handle	unmarked	1
tool_name	0	empty	document_title	unmarked	1
tool_name	0	static	caller_path	static_marker	1
tool_name	0	static	handle	static_marker	1
tool_name	0	static	document_title	static_marker	1
tool_name	0	collision	caller_path	nonce_collision	1
tool_name	0	collision	handle	nonce_collision	1
tool_name	0	collision	document_title	nonce_collision	1
tool_name	0	reused	caller_path	reused_nonce	1
tool_name	0	reused	handle	reused_nonce	1
tool_name	0	reused	document_title	reused_nonce	1
tool_name	1	fresh	caller_path	unmarked	1
tool_name	1	fresh	handle	unmarked	1
tool_name	1	fresh	document_title	unmarked	1
tool_name	1	empty	caller_path	unmarked	1
tool_name	1	empty	handle	unmarked	1
tool_name	1	empty	document_title	unmarked	1
tool_name	1	static	caller_path	static_marker	1
tool_name	1	static	handle	static_marker	1
tool_name	1	static	document_title	static_marker	1
tool_name	1	collision	caller_path	nonce_collision	1
tool_name	1	collision	handle	nonce_collision	1
tool_name	1	collision	document_title	nonce_collision	1
tool_name	1	reused	caller_path	reused_nonce	1
tool_name	1	reused	handle	reused_nonce	1
tool_name	1	reused	document_title	reused_nonce	1
shell_command	0	fresh	caller_path	unmarked	1
shell_command	0	fresh	handle	unmarked	1
shell_command	0	fresh	document_title	unmarked	1
shell_command	0	empty	caller_path	unmarked	1
shell_command	0	empty	handle	unmarked	1
shell_command	0	empty	document_title	unmarked	1
shell_command	0	static	caller_path	static_marker	1
shell_command	0	static	handle	static_marker	1
shell_command	0	static	document_title	static_marker	1
shell_command	0	collision	caller_path	nonce_collision	1
shell_command	0	collision	handle	nonce_collision	1
shell_command	0	collision	document_title	nonce_collision	1
shell_command	0	reused	caller_path	reused_nonce	1
shell_command	0	reused	handle	reused_nonce	1
shell_command	0	reused	document_title	reused_nonce	1
shell_command	1	fresh	caller_path	unmarked	1
shell_command	1	fresh	handle	unmarked	1
shell_command	1	fresh	document_title	unmarked	1
shell_command	1	empty	caller_path	unmarked	1
shell_command	1	empty	handle	unmarked	1
shell_command	1	empty	document_title	unmarked	1
shell_command	1	static	caller_path	static_marker	1
shell_command	1	static	handle	static_marker	1
shell_command	1	static	document_title	static_marker	1
shell_command	1	collision	caller_path	nonce_collision	1
shell_command	1	collision	handle	nonce_collision	1
shell_command	1	collision	document_title	nonce_collision	1
shell_command	1	reused	caller_path	reused_nonce	1
shell_command	1	reused	handle	reused_nonce	1
shell_command	1	reused	document_title	reused_nonce	1
url_body	0	fresh	caller_path	unmarked	1
url_body	0	fresh	handle	unmarked	1
url_body	0	fresh	document_title	unmarked	1
url_body	0	empty	caller_path	unmarked	1
url_body	0	empty	handle	unmarked	1
url_body	0	empty	document_title	unmarked	1
url_body	0	static	caller_path	static_marker	1
url_body	0	static	handle	static_marker	1
url_body	0	static	document_title	static_marker	1
url_body	0	collision	caller_path	nonce_collision	1
url_body	0	collision	handle	nonce_collision	1
url_body	0	collision	document_title	nonce_collision	1
url_body	0	reused	caller_path	reused_nonce	1
url_body	0	reused	handle	reused_nonce	1
url_body	0	reused	document_title	reused_nonce	1
url_body	1	fresh	caller_path	unmarked	1
url_body	1	fresh	handle	unmarked	1
url_body	1	fresh	document_title	unmarked	1
url_body	1	empty	caller_path	unmarked	1
url_body	1	empty	handle	unmarked	1
url_body	1	empty	document_title	unmarked	1
url_body	1	static	caller_path	static_marker	1
url_body	1	static	handle	static_marker	1
url_body	1	static	document_title	static_marker	1
url_body	1	collision	caller_path	nonce_collision	1
url_body	1	collision	handle	nonce_collision	1
url_body	1	collision	document_title	nonce_collision	1
url_body	1	reused	caller_path	reused_nonce	1
url_body	1	reused	handle	reused_nonce	1
url_body	1	reused	document_title	reused_nonce	1
run_plan	0	fresh	caller_path	unmarked	1
run_plan	0	fresh	handle	unmarked	1
run_plan	0	fresh	document_title	unmarked	1
run_plan	0	empty	caller_path	unmarked	1
run_plan	0	empty	handle	unmarked	1
run_plan	0	empty	document_title	unmarked	1
run_plan	0	static	caller_path	static_marker	1
run_plan	0	static	handle	static_marker	1
run_plan	0	static	document_title	static_marker	1
run_plan	0	collision	caller_path	nonce_collision	1
run_plan	0	collision	handle	nonce_collision	1
run_plan	0	collision	document_title	nonce_collision	1
run_plan	0	reused	caller_path	reused_nonce	1
run_plan	0	reused	handle	reused_nonce	1
run_plan	0	reused	document_title	reused_nonce	1
run_plan	1	fresh	caller_path	unmarked	1
run_plan	1	fresh	handle	unmarked	1
run_plan	1	fresh	document_title	unmarked	1
run_plan	1	empty	caller_path	unmarked	1
run_plan	1	empty	handle	unmarked	1
run_plan	1	empty	document_title	unmarked	1
run_plan	1	static	caller_path	static_marker	1
run_plan	1	static	handle	static_marker	1
run_plan	1	static	document_title	static_marker	1
run_plan	1	collision	caller_path	nonce_collision	1
run_plan	1	collision	handle	nonce_collision	1
run_plan	1	collision	document_title	nonce_collision	1
run_plan	1	reused	caller_path	reused_nonce	1
run_plan	1	reused	handle	reused_nonce	1
run_plan	1	reused	document_title	reused_nonce	1
authorization	0	fresh	caller_path	unmarked	1
authorization	0	fresh	handle	unmarked	1
authorization	0	fresh	document_title	unmarked	1
authorization	0	empty	caller_path	unmarked	1
authorization	0	empty	handle	unmarked	1
authorization	0	empty	document_title	unmarked	1
authorization	0	static	caller_path	static_marker	1
authorization	0	static	handle	static_marker	1
authorization	0	static	document_title	static_marker	1
authorization	0	collision	caller_path	nonce_collision	1
authorization	0	collision	handle	nonce_collision	1
