id	command	mode	untrustedContent	fields
info__default	info	default	true	title,fonts[]
info__empty-title	info	empty-title	true	fonts[]
word-count__default	word-count	default	false	
bookmarks__named	bookmarks	named	true	bookmarks[].name
bookmarks__empty	bookmarks	empty	false	
form-value__present	form-value	present	true	name,value,text,caption
form-value__missing	form-value	missing	false	
charts__default	charts	default	false	
headers-footers__default	headers-footers	default	false	
header-footer__with-text	header-footer	with-text	true	text
header-footer__absent	header-footer	absent	false	
export-text__pages	export-text	pages	true	pages[].text
export-text__batch-record	export-text	batch-record	true	text
export-structure__outline	export-structure	outline	true	structure.preamble[],structure.roots[].heading,structure.roots[].marker,structure.roots[].body[],structure.roots[].children[]
export-structure__empty-body	export-structure	empty-body	false	
digest__default	digest	default	true	outline[],excerpt
digest__sections	digest	sections	true	outline[],excerpt,sections[].heading,sections[].excerpt
digest__pages	digest	pages	true	excerpt
search__hits	search	hits	true	matches[].text,matches[].context
search__no-hits	search	no-hits	false	
extract-data__raw-hits	extract-data	raw-hits	true	items[].raw,items[].unit
extract-data__none	extract-data	none	false	
fields__with-fields	fields	with-fields	true	fields[].name,fields[].guide,fields[].memo,fields[].command,fields[].value
fields__confusable-names	fields	confusable-names	true	fields[].name,textSecurity.findings[].names[]
explain__with-fields	explain	with-fields	true	fields[],summary
explain__no-fields	explain	no-fields	true	summary
explore__default	explore	default	false	
export-tables__cells	export-tables	cells	true	tables[].caption,tables[].cells[].text,tables[].cells[].nested[]
export-tables__empty	export-tables	empty	false	
table-to-csv__csv	table-to-csv	csv	true	tables[].csv
table-to-csv__file-only	table-to-csv	file-only	false	
csv-to-table__changed	csv-to-table	changed	true	changed[].oldText
csv-to-table__dry-run	csv-to-table	dry-run	true	changed[].oldText
chart-to-csv__csv	chart-to-csv	csv	true	charts[].csv
csv-to-chart__changed	csv-to-chart	changed	true	changed[].from
dump-pages__preview	dump-pages	preview	true	pages[].columns[].items[].textPreview
inspect__hidden-text	inspect	hidden-text	true	hiddenText[].excerpt
inspect__injection	inspect	injection	true	injectionSignals[].excerpt,injectionSignals[].matched
inspect__unicode	inspect	unicode	true	findings[].excerpt,findings[].rendered,findings[].raw,findings[].hidden
inspect__clean	inspect	clean	false	
armor__fenced	armor	fenced	true	armoredText,injectionSignals[].excerpt,injectionSignals[].matched
edit__set-cell	edit	set-cell	true	oldText
edit__fill-fields	edit	fill-fields	true	confusable[].lookalikes
edit__redact	edit	redact	true	findings[].raw,findings[].masked
edit__sanitize	edit	sanitize	true	removed[].before
edit__replace-text	edit	replace-text	false	
run__set-cell	run	set-cell	true	steps[].oldText
run__fill-fields	run	fill-fields	true	steps[].confusable[].lookalikes
run__dry-run	run	dry-run	false	
replay__receipt	replay	receipt	false	
audit__default	audit	default	false	
lineage__default	lineage	default	false	
keygen__default	keygen	default	false	
verify-signature__default	verify-signature	default	false	
harness__default	harness	default	false	
harness-status__default	harness-status	default	false	
anchor__default	anchor	default	false	
gate__default	gate	default	false	
bundle__default	bundle	default	false	
disclose__default	disclose	default	false	
settle__default	settle	default	false	
audit-report__default	audit-report	default	false	
recall-scope__default	recall-scope	default	false	
conformance__default	conformance	default	false	
ir-diff__with-diff	ir-diff	with-diff	true	categories
ir-diff__identical	ir-diff	identical	false	
verify__field	verify	field	true	expectations[].actual
verify__contains	verify	contains	true	expectations[].actual
render-diff__default	render-diff	default	false	
layout-anomaly__default	layout-anomaly	default	false	
thumbnail__embedded	thumbnail	embedded	true	base64,dataUri
thumbnail__file-only	thumbnail	file-only	false	
batch__export-text	batch	export-text	true	text
batch__info	batch	info	true	title,fonts[]
batch__search	batch	search	true	matches[].text,matches[].context
scan__probe-error	scan	probe-error	true	files[].probe.error
scan__list-only	scan	list-only	false	
threat-scan__remote	threat-scan	remote	true	findings[].detail
threat-scan__macro-only	threat-scan	macro-only	false	
export-svg__manifest	export-svg	manifest	false	
export-pdf__manifest	export-pdf	manifest	false	
export-markdown__manifest	export-markdown	manifest	false	
export-hwpx__manifest	export-hwpx	manifest	false	
export-hml__manifest	export-hml	manifest	false	
export-doclang__manifest	export-doclang	manifest	false	
extract-pages__manifest	extract-pages	manifest	false	
convert__manifest	convert	manifest	false	
build-from-ingest__manifest	build-from-ingest	manifest	false	
scaffold__manifest	scaffold	manifest	false	
capabilities__default	capabilities	default	false	
export-ir-schema__default	export-ir-schema	default	false	
export-capabilities-schema__default	export-capabilities-schema	default	false	
export-provenance-map__default	export-provenance-map	default	false	
export-ontology__default	export-ontology	default	false	
export-agent-manifest__default	export-agent-manifest	default	false	
export-plan-schema__default	export-plan-schema	default	false	
