command	family	risk	path	origin
info	query	high	title	document_title() — extract_page_text_native 로 렌더한 앞 3쪽의 첫 의미 줄 (#3407)
info	query	high	fonts[]	DocInfo.font_faces[].name — 문서가 정한 글꼴 이름 문자열
word-count	query	none		구역·문단·글자·어절·쪽 수는 엔진이 IR 본문을 센 숫자다. 본문 문자열은 싣지 않는다.
bookmarks	query	medium	bookmarks[].name	get_bookmarks_native — 문서 책갈피 이름 문자열
form-value	query	high	name	get_form_value_native — 문서 양식 개체 이름 문자열
form-value	query	high	value	get_form_value_native — 문서 양식 개체 저장 값
form-value	query	high	text	get_form_value_native — 문서 양식 개체 표시 문자열
form-value	query	high	caption	get_form_value_native — 문서 양식 개체 단추 캡션
charts	query	none		목록은 엔진이 차트 컨트롤 좌표를 센 것이다. 본문·차트 숫자는 싣지 않는다.
headers-footers	query	none		목록은 엔진이 컨트롤 종류·적용 대상에서 만든 좌표다. 본문 문자열은 싣지 않는다.
header-footer	query	high	text	get_header_footer_native — 머리말/꼬리말 문단에서 읽은 문서 텍스트
export-text	query	critical	pages[].text	HwpDocument::extract_page_text_native — 쪽 텍스트 원문
export-text	query	critical	text	batch 레코드의 전 쪽 결합 텍스트 (batch_export_text_record_inner)
export-structure	query	critical	structure.preamble[]	첫 제목 이전 본문 문단 텍스트 (queries::structure)
export-structure	query	critical	structure.roots[].heading	제목 문단 텍스트
export-structure	query	critical	structure.roots[].marker	문단에서 검출한 번호 마커 문자열
export-structure	query	critical	structure.roots[].body[]	제목에 귀속된 본문 문단 텍스트
export-structure	query	critical	structure.roots[].children[]	하위 노드 — heading/marker/body/children 이 같은 규칙으로 재귀한다
digest	query	high	outline[]	StructureNode.heading — 최상위 제목 문단 텍스트
digest	query	high	excerpt	extract_page_text_native 앞쪽 발췌(기본 3쪽) 또는 --pages 범위 발췌
digest	query	high	sections[].heading	절 제목 문단 텍스트 (--sections)
digest	query	high	sections[].excerpt	절 본문 발췌 (--sections)
search	query	critical	matches[].text	GrepMatch.text — 매치가 속한 문단의 전문
