caseId	family	command	sample	tableIndex	rows	cols	mode	expectExit	writes	csvRoundtrip	invalidReasons	changedCount	coveredCount	nextAction
C-block_2x2-all	covered	csv-to-table	synthetic/merge-pattern.hwpx	0	4	4	dry-run	2	False	extract-only	coveredCellNotEmpty,coveredCellNotEmpty,coveredCellNotEmpty	0	3	edit set-cell
C-block_2x2-control-on-anchor	covered	csv-to-table	synthetic/merge-pattern.hwpx	0	4	4	dry-run	2	False	extract-only	controlCharacter	0	3	edit set-cell
C-block_2x2-empty-covered-ok-dim	covered	csv-to-table	synthetic/merge-pattern.hwpx	0	4	4	dry-run	0	False	extract-only		0	3	edit set-cell
C-block_2x2-first	covered	csv-to-table	synthetic/merge-pattern.hwpx	0	4	4	dry-run	2	False	extract-only	coveredCellNotEmpty	0	3	edit set-cell
C-block_2x2-last	covered	csv-to-table	synthetic/merge-pattern.hwpx	0	4	4	dry-run	2	False	extract-only	coveredCellNotEmpty	0	3	edit set-cell
C-block_2x2-second	covered	csv-to-table	synthetic/merge-pattern.hwpx	0	4	4	write	2	False	extract-only	coveredCellNotEmpty	0	3	edit set-cell
C-block_2x3-all	covered	csv-to-table	synthetic/merge-pattern.hwpx	0	5	5	dry-run	2	False	extract-only	coveredCellNotEmpty,coveredCellNotEmpty,coveredCellNotEmpty,coveredCellNotEmpty,coveredCellNotEmpty	0	5	edit set-cell
C-block_2x3-first	covered	csv-to-table	synthetic/merge-pattern.hwpx	0	5	5	dry-run	2	False	extract-only	coveredCellNotEmpty	0	5	edit set-cell
C-block_2x3-last	covered	csv-to-table	synthetic/merge-pattern.hwpx	0	5	5	dry-run	2	False	extract-only	coveredCellNotEmpty	0	5	edit set-cell
C-block_3x2-all	covered	csv-to-table	synthetic/merge-pattern.hwpx	0	5	4	dry-run	2	False	extract-only	coveredCellNotEmpty,coveredCellNotEmpty,coveredCellNotEmpty,coveredCellNotEmpty,coveredCellNotEmpty	0	5	edit set-cell
C-block_3x2-first	covered	csv-to-table	synthetic/merge-pattern.hwpx	0	5	4	dry-run	2	False	extract-only	coveredCellNotEmpty	0	5	edit set-cell
C-block_3x2-last	covered	csv-to-table	synthetic/merge-pattern.hwpx	0	5	4	dry-run	2	False	extract-only	coveredCellNotEmpty	0	5	edit set-cell
C-checker_safe-all	covered	csv-to-table	synthetic/merge-pattern.hwpx	0	4	4	dry-run	2	False	extract-only	coveredCellNotEmpty,coveredCellNotEmpty	0	2	edit set-cell
C-checker_safe-first	covered	csv-to-table	synthetic/merge-pattern.hwpx	0	4	4	dry-run	2	False	extract-only	coveredCellNotEmpty	0	2	edit set-cell
C-checker_safe-last	covered	csv-to-table	synthetic/merge-pattern.hwpx	0	4	4	dry-run	2	False	extract-only	coveredCellNotEmpty	0	2	edit set-cell
C-colspan2_last_row-all	covered	csv-to-table	synthetic/merge-pattern.hwpx	0	4	3	dry-run	2	False	extract-only	coveredCellNotEmpty	0	1	edit set-cell
C-colspan2_last_row-first	covered	csv-to-table	synthetic/merge-pattern.hwpx	0	4	3	dry-run	2	False	extract-only	coveredCellNotEmpty	0	1	edit set-cell
C-colspan2_last_row-last	covered	csv-to-table	synthetic/merge-pattern.hwpx	0	4	3	dry-run	2	False	extract-only	coveredCellNotEmpty	0	1	edit set-cell
C-colspan2_r0c0-all	covered	csv-to-table	synthetic/merge-pattern.hwpx	0	3	4	dry-run	2	False	extract-only	coveredCellNotEmpty	0	1	edit set-cell
C-colspan2_r0c0-control-on-anchor	covered	csv-to-table	synthetic/merge-pattern.hwpx	0	3	4	dry-run	2	False	extract-only	controlCharacter	0	1	edit set-cell
C-colspan2_r0c0-empty-covered-ok-dim	covered	csv-to-table	synthetic/merge-pattern.hwpx	0	3	4	dry-run	0	False	extract-only		0	1	edit set-cell
C-colspan2_r0c0-first	covered	csv-to-table	synthetic/merge-pattern.hwpx	0	3	4	dry-run	2	False	extract-only	coveredCellNotEmpty	0	1	edit set-cell
C-colspan2_r0c0-last	covered	csv-to-table	synthetic/merge-pattern.hwpx	0	3	4	dry-run	2	False	extract-only	coveredCellNotEmpty	0	1	edit set-cell
C-colspan2_r0c1-all	covered	csv-to-table	synthetic/merge-pattern.hwpx	0	3	4	dry-run	2	False	extract-only	coveredCellNotEmpty	0	1	edit set-cell
C-colspan2_r0c1-first	covered	csv-to-table	synthetic/merge-pattern.hwpx	0	3	4	dry-run	2	False	extract-only	coveredCellNotEmpty	0	1	edit set-cell
C-colspan2_r0c1-last	covered	csv-to-table	synthetic/merge-pattern.hwpx	0	3	4	dry-run	2	False	extract-only	coveredCellNotEmpty	0	1	edit set-cell
C-colspan3_header-all	covered	csv-to-table	synthetic/merge-pattern.hwpx	0	4	4	dry-run	2	False	extract-only	coveredCellNotEmpty,coveredCellNotEmpty	0	2	edit set-cell
C-colspan3_header-first	covered	csv-to-table	synthetic/merge-pattern.hwpx	0	4	4	dry-run	2	False	extract-only	coveredCellNotEmpty	0	2	edit set-cell
C-colspan3_header-last	covered	csv-to-table	synthetic/merge-pattern.hwpx	0	4	4	dry-run	2	False	extract-only	coveredCellNotEmpty	0	2	edit set-cell
C-colspan3_mid-all	covered	csv-to-table	synthetic/merge-pattern.hwpx	0	5	5	dry-run	2	False	extract-only	coveredCellNotEmpty,coveredCellNotEmpty	0	2	edit set-cell
C-colspan3_mid-first	covered	csv-to-table	synthetic/merge-pattern.hwpx	0	5	5	dry-run	2	False	extract-only	coveredCellNotEmpty	0	2	edit set-cell
C-colspan3_mid-last	covered	csv-to-table	synthetic/merge-pattern.hwpx	0	5	5	dry-run	2	False	extract-only	coveredCellNotEmpty	0	2	edit set-cell
C-colspan4_full_row-all	covered	csv-to-table	synthetic/merge-pattern.hwpx	0	3	4	dry-run	2	False	extract-only	coveredCellNotEmpty,coveredCellNotEmpty,coveredCellNotEmpty	0	3	edit set-cell
C-colspan4_full_row-first	covered	csv-to-table	synthetic/merge-pattern.hwpx	0	3	4	dry-run	2	False	extract-only	coveredCellNotEmpty	0	3	edit set-cell
C-colspan4_full_row-last	covered	csv-to-table	synthetic/merge-pattern.hwpx	0	3	4	dry-run	2	False	extract-only	coveredCellNotEmpty	0	3	edit set-cell
C-corner_l-all	covered	csv-to-table	synthetic/merge-pattern.hwpx	0	5	5	dry-run	2	False	extract-only	coveredCellNotEmpty,coveredCellNotEmpty,coveredCellNotEmpty	0	3	edit set-cell
C-corner_l-first	covered	csv-to-table	synthetic/merge-pattern.hwpx	0	5	5	dry-run	2	False	extract-only	coveredCellNotEmpty	0	3	edit set-cell
C-corner_l-last	covered	csv-to-table	synthetic/merge-pattern.hwpx	0	5	5	dry-run	2	False	extract-only	coveredCellNotEmpty	0	3	edit set-cell
C-first_col_stack-all	covered	csv-to-table	synthetic/merge-pattern.hwpx	0	6	3	dry-run	2	False	extract-only	coveredCellNotEmpty,coveredCellNotEmpty,coveredCellNotEmpty,coveredCellNotEmpty	0	4	edit set-cell
C-first_col_stack-first	covered	csv-to-table	synthetic/merge-pattern.hwpx	0	6	3	dry-run	2	False	extract-only	coveredCellNotEmpty	0	4	edit set-cell
C-first_col_stack-last	covered	csv-to-table	synthetic/merge-pattern.hwpx	0	6	3	dry-run	2	False	extract-only	coveredCellNotEmpty	0	4	edit set-cell
C-header_plus_note-all	covered	csv-to-table	synthetic/merge-pattern.hwpx	0	4	5	dry-run	2	False	extract-only	coveredCellNotEmpty,coveredCellNotEmpty,coveredCellNotEmpty,coveredCellNotEmpty	0	4	edit set-cell
C-header_plus_note-first	covered	csv-to-table	synthetic/merge-pattern.hwpx	0	4	5	dry-run	2	False	extract-only	coveredCellNotEmpty	0	4	edit set-cell
C-header_plus_note-last	covered	csv-to-table	synthetic/merge-pattern.hwpx	0	4	5	dry-run	2	False	extract-only	coveredCellNotEmpty	0	4	edit set-cell
C-header_plus_note-second	covered	csv-to-table	synthetic/merge-pattern.hwpx	0	4	5	write	2	False	extract-only	coveredCellNotEmpty	0	4	edit set-cell
C-last_cell_span-all	covered	csv-to-table	synthetic/merge-pattern.hwpx	0	3	3	dry-run	2	False	extract-only	coveredCellNotEmpty,coveredCellNotEmpty,coveredCellNotEmpty	0	3	edit set-cell
C-last_cell_span-first	covered	csv-to-table	synthetic/merge-pattern.hwpx	0	3	3	dry-run	2	False	extract-only	coveredCellNotEmpty	0	3	edit set-cell
C-last_cell_span-last	covered	csv-to-table	synthetic/merge-pattern.hwpx	0	3	3	dry-run	2	False	extract-only	coveredCellNotEmpty	0	3	edit set-cell
C-many_small-all	covered	csv-to-table	synthetic/merge-pattern.hwpx	0	8	6	dry-run	2	False	extract-only	coveredCellNotEmpty,coveredCellNotEmpty,coveredCellNotEmpty,coveredCellNotEmpty,coveredCellNotEmpty,coveredCellNotEmpty,coveredCellNotEmpty,coveredCellNotEmpty	0	8	edit set-cell
