ident	family	byteLength	sha256
plan:notice_year	공문	186	624876b4113450ab15d9c1e559c0ad5056e405a394ca455340bf0a11ff138583
plan:org_rename	공문	207	0de336da92b68347933c4da49fa9fbe37e7fc04c0bdcda8ed5f581590c4e520f
plan:dept_rename	공문	202	925bf5163eda4671d4e6ae9d7aeb02e0cb837b88c672800ec4391423b795c95c
plan:addr_fix	공문	195	96f088cb062923aaa3f50f82591ce5a1e7cdb855e46c8d486efcf9bf8b618c26
plan:phone_hyphen	공문	201	11323bcdca02dbbaee8a42d92ff5bb75607a83ba5ad1b281833ab9741a5c3808
plan:amount_comma	예산	176	7534221d28e9efd8746947ffd1c77a2845ba444e9140027f2eef1435e9d8a0c5
plan:deadline_iso	고시	199	3267eaa033e7c36b6023915e42ada13374e14e6a5f6dab0dd60b6e1a25b56c17
plan:law_ref	법령	228	dcbda5c1c43b5172129ec2222c4323e3e69c54976839a51a0a315c4580f8188c
plan:page_ref	공문	197	c099a1d4aa130c00c69d43218e84abea6303f0e890da2dd9289e5626999afbb6
plan:footer_page	공문	188	54a3ce28f240c9a7bad3a07ba6ccc74d7dccf8966bdbb99336a245c50e03d844
plan:title_typo	공문	195	c00704fd03149faa3dd2b250200e4884a0ff1aec294e86ae686e54bd3cc35124
plan:en_typo	공문	209	3e1a768f97b77de7ff8e25297c9b2bfd256aa2ae657396392b816d65430c7abd
plan:form_name	신청서	153	9b35933490fdd5377b8cbf8b9cdeb09a775efa8a67255f150d3e434950768917
plan:form_rrn_mask	신청서	169	c0db07256759acf8091f1f08041181252cecccca98279733f597d76c67cef99a
plan:checkbox_agree	신청서	178	83926cfd5aa02094142785d37b43d82758074d3a3bb5378fd65731f4ccc6b9ed
plan:table_label	표	178	3c3c8dc8d5cf969a9f665f4b71d80c8b9a762f8c90c38f5bf29d009b99929f34
plan:cell_amount	예산	172	b8e8097f7c6e121eef50b5e3d1cf531a55eb5d987139086223f79feeeb667f4d
plan:seal_caption	공문	189	592553f3fc0907134a24c02a2642c2e17704be52599c32e2067310d3bac50a85
plan:hwpx_year	공문	150	e8826080e8855e8f7253b935f509f64ab5dbcc4cc58a488dea84ecebcbfa9ca5
plan:newline_keep	공문	229	0414cb4bbc6128dd81e0343e86cee4be73feab715c0493b1d0ec46f400f56794
plan:privacy_mask	보안	204	a7acca73103f6d4856f9e6670b73e2f7b907f328e8c5d95c1cd27a28a1a7b08d
plan:version_tag	공문	186	ec4821e938425b4e9293c3714e3cd986caaf2fee79a61b8b4337250cbf54cc9b
