ident	total	reproduced	rate	exit	title
empty	0	0		2	빈 폴더
all-ok	3	3	3/3	0	전건 재현
mixed	3	2	2/3	3	2/3 재현
all-fail	3	0	0/3	3	전건 실패
nested-ignored	1	1	1/1	0	비재귀
mixed-ext	1	1	1/1	0	확장자 필터
plan-vs-text	1	0	0/1	3	plan 변조
plan-text-sha	1	0	0/1	3	원문 해시
steps-tamper	1	0	0/1	3	step 수 변조
wrong-kind	1	0	0/1	3	kind 오류
bad-output-sha	1	0	0/1	3	출력 해시 기형
bad-input-sha	1	0	0/1	3	입력 해시 기형
invalid-json	1	0	0/1	3	깨진 JSON
same-folder-chain	2	2	2/2	0	같은 폴더 체인
rate-1-of-4	4	1	1/4	3	1/4
rate-3-of-4	4	3	3/4	3	3/4
single	1	1	1/1	0	단건
pretty-print	1	1	1/1	0	포맷터 변조
missing-plan-text	1	0	0/1	3	planText 없음
toolversion-mismatch	1	1	1/1	0	도구 버전 기록
