ident	family	genre	actions	steps	title
notice_year	공문	연도갱신	replace_text	1	시행문 본문 연도 2025→2026
org_rename	공문	기관개칭	replace_text	1	안전행정부→행정안전부 전건 치환
dept_rename	공문	부서개칭	replace_text	1	총무과→운영지원과
addr_fix	공문	주소정정	replace_text	1	세종 도움5로→도움6로
phone_hyphen	공문	전화형식	replace_text	1	0210002114→02-2100-2114
amount_comma	예산	금액표기	replace_text	1	1000000원→1,000,000원
deadline_iso	고시	마감일	replace_text	1	제출기한 2026.3.31.→2026-03-31
law_ref	법령	조문인용	replace_text	1	국가공무원법 제69조→제68조
page_ref	공문	쪽참조	replace_text	1	붙임 2쪽→붙임 3쪽
footer_page	공문	바닥글	replace_text	1	바닥글 쪽 표기 - 1 - 유지
title_typo	공문	오탈	replace_text	1	제목 시정→시장
en_typo	공문	영문오탈	replace_text	1	recieve→receive
form_name	신청서	누름틀	fill_fields	1	성명 누름틀 채움
form_rrn_mask	신청서	주민번호	fill_fields	1	주민등록번호 누름틀에 마스킹 값
checkbox_agree	신청서	동의체크	set_checkbox	1	개인정보 수집 동의 체크
table_label	표	라벨	replace_text	1	일련번호 헤더 표기 정정
cell_amount	예산	셀금액	set_cell	1	예산 표 (0,2,3) 칸에 금액
seal_caption	공문	직인	replace_text	1	직인 캡션 (인) 유지
hwpx_year	공문	hwpx	replace_text	1	HWPX 본문 연도 2024→2026
newline_keep	공문	개행	replace_text	1	수신자 줄바꿈 뒤 기관명 치환
privacy_mask	보안	전화마스킹	replace_text	1	02-2100-2114→02-****-2114
version_tag	공문	문서버전	replace_text	1	문서 버전 v1.2→v1.3
date_korean	공문	한글일자	replace_text	1	2026년 3월 31일→2026년 4월 1일
honorific	공문	경칭	replace_text	1	귀하 유지
sender_title	공문	발신명의	replace_text	1	경기도지사→경기도지사 직무대행
receiver_dept	공문	수신처	replace_text	1	수신 기획조정실→정책기획관
via_line	공문	경유	replace_text	1	경유 감사담당관 추가 표기 정정
subject_line	공문	제목	replace_text	1	제목: 협조 요청→제목: 자료 제출 요청
ref_number	공문	문서번호	replace_text	1	행안-2025-1234→행안-2026-0001
attach_count	공문	붙임	replace_text	1	붙임 1부.→붙임 2부.
copy_to	공문	사본	replace_text	1	사본 수신 기획재정부 추가
effective_date	고시	시행일	replace_text	1	이 고시는 고시한 날부터 시행한다 유지
expire_date	고시	유효기간	replace_text	1	유효기간 2026-12-31→2027-12-31
budget_code	예산	과목	replace_text	1	예산과목 101-01→101-02
account_mask	보안	계좌	replace_text	1	계좌 중간 마스킹
biz_no	계약	사업자번호	replace_text	1	사업자등록번호 하이픈 정규화
corp_name	계약	법인명	replace_text	1	(주)한빛→한빛 주식회사
bid_round	입찰	차수	replace_text	1	1차 입찰→2차 입찰
bid_price	입찰	예정가격	replace_text	1	예정가격 표기 정정
exam_year	시험	학년도	replace_text	1	2025학년도→2026학년도
exam_subject	시험	과목	replace_text	1	한국사→한국사(필수)
minutes_date	회의록	일시	replace_text	1	회의일시 정정
minutes_attend	회의록	출석	replace_text	1	출석 6인→출석 7인
agenda_item	안건	호수	replace_text	1	안건 제2호→제3호
petition_no	민원	접수번호	replace_text	1	민원 접수번호 부여
petition_result	민원	처리결과	replace_text	1	처리결과 검토중→수용
hr_order	인사	발령	replace_text	1	전보 발령 문구 정정
hr_grade	인사	직급	replace_text	1	서기관→부이사관
statute_article	법령	조문	replace_text	1	제1조(목적) 표제 유지
statute_amend	법령	개정	replace_text	1	일부개정→전부개정
registry_lot	등기	지번	replace_text	1	지번 123-4→123-5
registry_owner	등기	소유자	replace_text	1	소유자 표시 정정
audit_finding	감사	지적	replace_text	1	지적사항 제목 정정
audit_action	감사	처분	replace_text	1	처분요구 주의→시정
contract_party	계약	당사자	replace_text	1	갑 표시 정정
contract_period	계약	기간	replace_text	1	계약기간 종료일 연장
vat_include	계약	부가세	replace_text	1	부가세 별도→부가세 포함
gazette_no	고시	관보	replace_text	1	관보 호수 정정
gazette_date	고시	고시일	replace_text	1	고시일자 정정
form_date	신청서	작성일	fill_fields	1	작성일자 누름틀
form_addr	신청서	주소칸	fill_fields	1	주소 누름틀
form_phone	신청서	전화칸	fill_fields	1	전화번호 누름틀
set_cell_name	표	성명셀	set_cell	1	표 (0,1,0) 성명 칸
set_cell_score	시험	점수셀	set_cell	1	점수 표 (0,4,2) = 85
checkbox_no	신청서	미동의	set_checkbox	1	선택 동의 해제
multi_notice	공문	다단계	replace_text+replace_text	2	연도+부서 2 step
multi_form	신청서	채움+체크	fill_fields+set_checkbox	2	성명 채움 후 동의 체크
multi_table	표	세칸	set_cell+set_cell+set_cell	3	표 세 칸 연속 set_cell
occurrence_first	공문	순번	replace_text	1	첫 번째 2025 만 2026
case_fold_off	공문	대소문자	replace_text	1	HWP 만 치환, hwp 는 남김
delete_draft	공문	삭제	replace_text	1	초안 표기 삭제
fullwidth_year	공문	전각	replace_text	1	전각 연도 ２０２５→2026
middle_dot	법령	가운뎃점	replace_text	1	법령명 가운뎃점 정규화
tilde_range	공문	범위	replace_text	1	1~3쪽→1-3쪽
won_symbol	예산	원화	replace_text	1	원→₩ 표기 통일 거부하고 '원' 유지
percent_rate	계약	이율	replace_text	1	연 3.0%→연 3.5%
footnote_star	공문	각주	replace_text	1	각주 * 표기 유지
header_org	공문	머릿글	replace_text	1	머릿글 기관명 개칭
form_indexed	신청서	반복필드	fill_fields	1	같은 이름 13번째 칸
keep_style_cell	표	스타일유지	set_cell	1	칸 값만 바꾸고 스타일 유지
